trial_id,stim1,stim2,spkr1,spkr2,lang1,lang2,utt1,utt2,utterance_pair,speaker_identity,stimulus_language,cnceleb_resnet34,cnceleb_resnet34_LM,voxceleb_ECAPA1024,voxceleb_ECAPA1024_LM,voxceleb_ECAPA512,voxceleb_ECAPA512_LM,voxceleb_ecapa512_dino,voxceleb_CAM++,voxceleb_CAM++_LM,voxceleb_resnet34,voxceleb_resnet34_LM,voxblink2_samresnet34,voxblink2_samresnet34_ft,voxblink2_samresnet100,voxblink2_samresnet100_ft,voxceleb_resnet152_LM,voxceleb_resnet221_LM,voxceleb_resnet293_LM
T001,VF19B_Can_utt1.wav,VF19B_Can_utt2.wav,VF19B,VF19B,Can,Can,utt_c1,utt_c2,c1_c2,same,can,0.849584311246872,0.8467305302619934,0.8444784581661224,0.8234027624130249,0.8480379283428192,0.8352067768573761,0.8207007348537445,0.8350740075111389,0.8650728464126587,0.7793239057064056,0.7683643698692322,0.8401201367378235,0.8473416268825531,0.891289234161377,0.8858912885189056,0.8069856464862823,0.7999390363693237,0.7710743546485901
T002,VF19B_Can_utt1.wav,VF19D_Can_utt2.wav,VF19B,VF19D,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.5696303471922874,0.5475506857037544,0.5984526500105858,0.591581828892231,0.5853963568806648,0.5719137266278267,0.6429508179426193,0.541059348732233,0.5598577372729778,0.614714726805687,0.6061275824904442,0.7122829705476761,0.7185326218605042,0.6587981581687927,0.6573169976472855,0.6652133613824844,0.6373878121376038,0.632169783115387
T003,VF19B_Can_utt1.wav,VF21A_Can_utt2.wav,VF19B,VF21A,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.5794982612133026,0.5786210373044014,0.6219545975327492,0.620223380625248,0.5811519622802734,0.5752177610993385,0.5840448439121246,0.5336608290672302,0.5561212711036205,0.635390967130661,0.622146800160408,0.6425112932920456,0.6136510074138641,0.6125301569700241,0.5275091677904129,0.5890869647264481,0.581458255648613,0.5850823819637299
T004,VF19B_Can_utt1.wav,VF21B_Can_utt2.wav,VF19B,VF21B,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.7241529822349548,0.6960826963186264,0.659359335899353,0.6484430879354477,0.6402361690998077,0.6341173648834229,0.6658117771148682,0.667229026556015,0.709241509437561,0.6747580617666245,0.6570420414209366,0.7389161288738251,0.7124246656894684,0.6777460128068924,0.6561398357152939,0.6805767118930817,0.6265638172626495,0.640257403254509
T005,VF19B_Can_utt1.wav,VF21C_Can_utt2.wav,VF19B,VF21C,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.6859797388315201,0.6850633919239044,0.6454039216041565,0.6321170926094055,0.6498409360647202,0.6252216696739197,0.7208183705806732,0.6532767713069916,0.6629193127155304,0.6749012470245361,0.675878718495369,0.7252640128135681,0.7017571330070496,0.6819973737001419,0.697624683380127,0.6327566802501678,0.6013316810131073,0.6611364781856537
T006,VF19B_Can_utt1.wav,VF21D_Can_utt2.wav,VF19B,VF21D,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.6099215149879456,0.5944976434111595,0.6008289456367493,0.5885166674852371,0.5613637380301952,0.5612175352871418,0.6846927553415298,0.6170933619141579,0.6449925005435944,0.6286810040473938,0.6264243125915527,0.641846776008606,0.6483039259910583,0.6167249009013176,0.6348522156476974,0.6393146514892578,0.6113281771540642,0.5900945067405701
T007,VF19B_Can_utt1.wav,VF23B_Can_utt2.wav,VF19B,VF23B,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.5991953387856483,0.6016286239027977,0.5877772644162178,0.5886999145150185,0.5986054018139839,0.6025134027004242,0.6043490841984749,0.5865530595183372,0.5631325393915176,0.5670970305800438,0.5599631257355213,0.6258073300123215,0.6407919526100159,0.6562579721212387,0.6983309090137482,0.5947059914469719,0.6628334224224091,0.5899204313755035
T008,VF19B_Can_utt1.wav,VF23C_Can_utt2.wav,VF19B,VF23C,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.6323979198932648,0.6331767737865448,0.49893369688652456,0.5128729669377208,0.5020986283197999,0.5088851526379585,0.557975672185421,0.48887238651514053,0.5355187244713306,0.57020303606987,0.5621886476874352,0.6422354578971863,0.6259936839342117,0.6773793399333954,0.6655807495117188,0.5962401255965233,0.5971532985568047,0.5575832538306713
T009,VF19B_Can_utt1.wav,VF26A_Can_utt2.wav,VF19B,VF26A,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.6185711547732353,0.6147767081856728,0.6024634093046188,0.5871752351522446,0.5634656399488449,0.5605261586606503,0.6107069700956345,0.5616079047322273,0.5852968916296959,0.6326279044151306,0.6210040673613548,0.6355237066745758,0.6160202994942665,0.5992612615227699,0.5748023614287376,0.590207926928997,0.5954166054725647,0.5943612456321716
T010,VF19B_Can_utt1.wav,VF32A_Can_utt2.wav,VF19B,VF32A,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.5805434882640839,0.5833114683628082,0.5900612100958824,0.5623496919870377,0.6131602898240089,0.6040554493665695,0.6116363108158112,0.5795100927352905,0.5987018123269081,0.6057320758700371,0.6150456443428993,0.6445068418979645,0.6432604938745499,0.6134646758437157,0.637595608830452,0.642766609787941,0.638920858502388,0.5833826437592506
T011,VF19D_Can_utt1.wav,VF19D_Can_utt2.wav,VF19D,VF19D,Can,Can,utt_c1,utt_c2,c1_c2,same,can,0.8132200837135315,0.8102625012397766,0.8139850497245789,0.7854636907577515,0.831976443529129,0.8206190168857574,0.8396250307559967,0.8323124051094055,0.837297797203064,0.7632830440998077,0.7533954083919525,0.8736343383789062,0.8591137528419495,0.8831665515899658,0.8639743328094482,0.7990280091762543,0.8216697871685028,0.7894590795040131
T012,VF19D_Can_utt1.wav,VF21A_Can_utt2.wav,VF19D,VF21A,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.6774052530527115,0.6797356009483337,0.6156156808137894,0.6092408075928688,0.5860507041215897,0.5751000270247459,0.6171007230877876,0.5899800658226013,0.5930754020810127,0.58811154961586,0.5884102582931519,0.5997946634888649,0.5900243893265724,0.6123462319374084,0.5522192046046257,0.5458094477653503,0.4906461387872696,0.5195392090827227
T013,VF19D_Can_utt1.wav,VF21B_Can_utt2.wav,VF19D,VF21B,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.6276993751525879,0.6294140666723251,0.6618722826242447,0.625924602150917,0.7335163056850433,0.7237826287746429,0.6690623760223389,0.6752288192510605,0.674272820353508,0.6895310133695602,0.6873165369033813,0.7032490968704224,0.7148950695991516,0.7219030410051346,0.7421368807554245,0.6978529840707779,0.6797020882368088,0.635227158665657
T014,VF19D_Can_utt1.wav,VF21C_Can_utt2.wav,VF19D,VF21C,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.6537838578224182,0.6548463702201843,0.6768405139446259,0.6418434232473373,0.6561233848333359,0.6386973857879639,0.6430135518312454,0.6842404305934906,0.6789635866880417,0.6618181616067886,0.6646793931722641,0.6820982247591019,0.7270563542842865,0.6602664589881897,0.6984802633523941,0.6636381596326828,0.6494290381669998,0.6630662381649017
T015,VF19D_Can_utt1.wav,VF21D_Can_utt2.wav,VF19D,VF21D,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.5799357444047928,0.554663710296154,0.5740672871470451,0.546468261629343,0.6169033572077751,0.6005666553974152,0.6525994390249252,0.5855176225304604,0.5775867775082588,0.6109606400132179,0.5971887484192848,0.6258532702922821,0.6690619140863419,0.605858102440834,0.6282194256782532,0.6302393972873688,0.591788224875927,0.5508689135313034
T016,VF19D_Can_utt1.wav,VF23B_Can_utt2.wav,VF19D,VF23B,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.5885598286986351,0.5721365660429001,0.5668835788965225,0.554633304476738,0.5681685954332352,0.5785707831382751,0.6184653639793396,0.5866307243704796,0.6623303443193436,0.531388059258461,0.53534796833992,0.6155531704425812,0.6692850887775421,0.6288876831531525,0.6881881803274155,0.5401851087808609,0.5606982260942459,0.5449105352163315
T017,VF19D_Can_utt1.wav,VF23C_Can_utt2.wav,VF19D,VF23C,Can,Can,utt_c1,utt_c2,c1_c2,diff,can,0.7113008350133896,0.7158661782741547,0.6312254816293716,0.6214755326509476,0.618324875831604,0.6053326576948166,0.6395359039306641,0.6197697445750237,0.6350516974925995,0.651303306221962,0.6547321826219559,0.6837257742881775,0.7077447921037674,0.7285114526748657,0.7493247538805008,0.6925313323736191,0.6667852401733398,0.6813420206308365
