label1,label2,feature,dissimilarity
VF19B_can_utt1,VF19B_can_utt2,H2H4c_mean,0.07142697623546768
VF19B_can_utt1,VF19B_eng_utt1,H2H4c_mean,0.10992487217697133
VF19B_can_utt1,VF19B_eng_utt2,H2H4c_mean,0.12195170456451743
VF19B_can_utt1,VF19D_can_utt1,H2H4c_mean,0.0911463012497753
VF19B_can_utt1,VF19D_can_utt2,H2H4c_mean,0.06490785033422974
VF19B_can_utt1,VF19D_eng_utt1,H2H4c_mean,0.1360546481359941
VF19B_can_utt1,VF19D_eng_utt2,H2H4c_mean,0.13035720787840877
VF19B_can_utt1,VF21A_can_utt1,H2H4c_mean,0.07172836095793278
VF19B_can_utt1,VF21A_can_utt2,H2H4c_mean,0.12336460833188712
VF19B_can_utt1,VF21A_eng_utt1,H2H4c_mean,0.17016141709507093
VF19B_can_utt1,VF21A_eng_utt2,H2H4c_mean,0.2102506787637224
VF19B_can_utt1,VF21B_can_utt1,H2H4c_mean,0.053276371216341656
VF19B_can_utt1,VF21B_can_utt2,H2H4c_mean,0.06691183228663411
VF19B_can_utt1,VF21B_eng_utt1,H2H4c_mean,0.07866942151450285
VF19B_can_utt1,VF21B_eng_utt2,H2H4c_mean,0.15984796446246063
VF19B_can_utt1,VF21C_can_utt1,H2H4c_mean,0.11779007934068297
VF19B_can_utt1,VF21C_can_utt2,H2H4c_mean,0.2185067079891121
VF19B_can_utt1,VF21C_eng_utt1,H2H4c_mean,0.11747064167753629
VF19B_can_utt1,VF21C_eng_utt2,H2H4c_mean,0.07343278659147356
VF19B_can_utt1,VF21D_can_utt1,H2H4c_mean,0.031979052422612786
VF19B_can_utt1,VF21D_can_utt2,H2H4c_mean,0.05608809117889346
VF19B_can_utt1,VF21D_eng_utt1,H2H4c_mean,0.09383778295121092
VF19B_can_utt1,VF21D_eng_utt2,H2H4c_mean,0.15562522317910787
VF19B_can_utt1,VF23B_can_utt1,H2H4c_mean,0.08347513726554145
