label1,label2,feature,dissimilarity
VF19B_can_utt1,VF19B_can_utt2,H2KH5Kc_mean,0.056333038094607435
VF19B_can_utt1,VF19B_eng_utt1,H2KH5Kc_mean,0.16335394197450953
VF19B_can_utt1,VF19B_eng_utt2,H2KH5Kc_mean,0.03760506419060833
VF19B_can_utt1,VF19D_can_utt1,H2KH5Kc_mean,0.08442638554609444
VF19B_can_utt1,VF19D_can_utt2,H2KH5Kc_mean,0.101351637239605
VF19B_can_utt1,VF19D_eng_utt1,H2KH5Kc_mean,0.1797318395592214
VF19B_can_utt1,VF19D_eng_utt2,H2KH5Kc_mean,0.1642830501047312
VF19B_can_utt1,VF21A_can_utt1,H2KH5Kc_mean,0.02868626821633702
VF19B_can_utt1,VF21A_can_utt2,H2KH5Kc_mean,0.06161086892665052
VF19B_can_utt1,VF21A_eng_utt1,H2KH5Kc_mean,0.2620693072138042
VF19B_can_utt1,VF21A_eng_utt2,H2KH5Kc_mean,0.36392193255401056
VF19B_can_utt1,VF21B_can_utt1,H2KH5Kc_mean,0.019423842659855528
VF19B_can_utt1,VF21B_can_utt2,H2KH5Kc_mean,0.03462427803808321
VF19B_can_utt1,VF21B_eng_utt1,H2KH5Kc_mean,0.09765014848574982
VF19B_can_utt1,VF21B_eng_utt2,H2KH5Kc_mean,0.14139477453449895
VF19B_can_utt1,VF21C_can_utt1,H2KH5Kc_mean,0.005246208133380503
VF19B_can_utt1,VF21C_can_utt2,H2KH5Kc_mean,0.05535395179475
VF19B_can_utt1,VF21C_eng_utt1,H2KH5Kc_mean,0.1289490971699354
VF19B_can_utt1,VF21C_eng_utt2,H2KH5Kc_mean,0.059834133556954605
VF19B_can_utt1,VF21D_can_utt1,H2KH5Kc_mean,0.009251122155807034
VF19B_can_utt1,VF21D_can_utt2,H2KH5Kc_mean,0.03831787777484563
VF19B_can_utt1,VF21D_eng_utt1,H2KH5Kc_mean,0.09795038901149744
VF19B_can_utt1,VF21D_eng_utt2,H2KH5Kc_mean,0.119792603174108
VF19B_can_utt1,VF23B_can_utt1,H2KH5Kc_mean,0.1663341591000269
VF19B_can_utt1,VF23B_can_utt2,H2KH5Kc_mean,0.10925011332713053
VF19B_can_utt1,VF23B_eng_utt1,H2KH5Kc_mean,0.12020178716823832
VF19B_can_utt1,VF23B_eng_utt2,H2KH5Kc_mean,0.1392416745300798
VF19B_can_utt1,VF23C_can_utt1,H2KH5Kc_mean,0.328311783682053
VF19B_can_utt1,VF23C_can_utt2,H2KH5Kc_mean,0.32509166354455016
VF19B_can_utt1,VF23C_eng_utt1,H2KH5Kc_mean,0.11037015843410342
VF19B_can_utt1,VF23C_eng_utt2,H2KH5Kc_mean,0.10308516141442653
VF19B_can_utt1,VF26A_can_utt1,H2KH5Kc_mean,0.053420228597868935
VF19B_can_utt1,VF26A_can_utt2,H2KH5Kc_mean,0.07129461195783321
VF19B_can_utt1,VF26A_eng_utt1,H2KH5Kc_mean,0.06038785786821321
VF19B_can_utt1,VF26A_eng_utt2,H2KH5Kc_mean,0.004630955176215701
VF19B_can_utt1,VF32A_can_utt1,H2KH5Kc_mean,0.07840032367182581
VF19B_can_utt1,VF32A_can_utt2,H2KH5Kc_mean,0.07585793460852203
VF19B_can_utt1,VF32A_eng_utt1,H2KH5Kc_mean,0.16138408991837722
VF19B_can_utt1,VF32A_eng_utt2,H2KH5Kc_mean,0.0908912664919364
VF19B_can_utt2,VF19B_eng_utt1,H2KH5Kc_mean,0.1070209038799021
VF19B_can_utt2,VF19B_eng_utt2,H2KH5Kc_mean,0.018727973903999107
VF19B_can_utt2,VF19D_can_utt1,H2KH5Kc_mean,0.028093347451487005
VF19B_can_utt2,VF19D_can_utt2,H2KH5Kc_mean,0.04501859914499756
VF19B_can_utt2,VF19D_eng_utt1,H2KH5Kc_mean,0.12339880146461396
VF19B_can_utt2,VF19D_eng_utt2,H2KH5Kc_mean,0.10795001201012377
VF19B_can_utt2,VF21A_can_utt1,H2KH5Kc_mean,0.027646769878270416
VF19B_can_utt2,VF21A_can_utt2,H2KH5Kc_mean,0.0052778308320430845
VF19B_can_utt2,VF21A_eng_utt1,H2KH5Kc_mean,0.2057362691191968
VF19B_can_utt2,VF21A_eng_utt2,H2KH5Kc_mean,0.30758889445940313
VF19B_can_utt2,VF21B_can_utt1,H2KH5Kc_mean,0.03690919543475191
VF19B_can_utt2,VF21B_can_utt2,H2KH5Kc_mean,0.021708760056524223
VF19B_can_utt2,VF21B_eng_utt1,H2KH5Kc_mean,0.041317110391142386
VF19B_can_utt2,VF21B_eng_utt2,H2KH5Kc_mean,0.08506173643989151
VF19B_can_utt2,VF21C_can_utt1,H2KH5Kc_mean,0.05108682996122693
VF19B_can_utt2,VF21C_can_utt2,H2KH5Kc_mean,0.0009790862998574346
VF19B_can_utt2,VF21C_eng_utt1,H2KH5Kc_mean,0.07261605907532798
VF19B_can_utt2,VF21C_eng_utt2,H2KH5Kc_mean,0.00350109546234717
VF19B_can_utt2,VF21D_can_utt1,H2KH5Kc_mean,0.0470819159388004
VF19B_can_utt2,VF21D_can_utt2,H2KH5Kc_mean,0.018015160319761803
VF19B_can_utt2,VF21D_eng_utt1,H2KH5Kc_mean,0.041617350916890006
VF19B_can_utt2,VF21D_eng_utt2,H2KH5Kc_mean,0.06345956507950057
VF19B_can_utt2,VF23B_can_utt1,H2KH5Kc_mean,0.11000112100541948
VF19B_can_utt2,VF23B_can_utt2,H2KH5Kc_mean,0.05291707523252309
VF19B_can_utt2,VF23B_eng_utt1,H2KH5Kc_mean,0.06386874907363088
VF19B_can_utt2,VF23B_eng_utt2,H2KH5Kc_mean,0.08290863643547236
VF19B_can_utt2,VF23C_can_utt1,H2KH5Kc_mean,0.27197874558744556
VF19B_can_utt2,VF23C_can_utt2,H2KH5Kc_mean,0.2687586254499427
VF19B_can_utt2,VF23C_eng_utt1,H2KH5Kc_mean,0.05403712033949598
VF19B_can_utt2,VF23C_eng_utt2,H2KH5Kc_mean,0.046752123319819094
VF19B_can_utt2,VF26A_can_utt1,H2KH5Kc_mean,0.0029128094967385
VF19B_can_utt2,VF26A_can_utt2,H2KH5Kc_mean,0.014961573863225774
VF19B_can_utt2,VF26A_eng_utt1,H2KH5Kc_mean,0.004054819773605778
VF19B_can_utt2,VF26A_eng_utt2,H2KH5Kc_mean,0.060963993270823136
VF19B_can_utt2,VF32A_can_utt1,H2KH5Kc_mean,0.022067285577218376
VF19B_can_utt2,VF32A_can_utt2,H2KH5Kc_mean,0.01952489651391459
VF19B_can_utt2,VF32A_eng_utt1,H2KH5Kc_mean,0.10505105182376978
VF19B_can_utt2,VF32A_eng_utt2,H2KH5Kc_mean,0.03455822839732897
VF19B_eng_utt1,VF19B_eng_utt2,H2KH5Kc_mean,0.1257488777839012
VF19B_eng_utt1,VF19D_can_utt1,H2KH5Kc_mean,0.07892755642841509
VF19B_eng_utt1,VF19D_can_utt2,H2KH5Kc_mean,0.062002304734904534
VF19B_eng_utt1,VF19D_eng_utt1,H2KH5Kc_mean,0.016377897584711865
VF19B_eng_utt1,VF19D_eng_utt2,H2KH5Kc_mean,0.0009291081302216786
VF19B_eng_utt1,VF21A_can_utt1,H2KH5Kc_mean,0.1346676737581725
VF19B_eng_utt1,VF21A_can_utt2,H2KH5Kc_mean,0.10174307304785901
VF19B_eng_utt1,VF21A_eng_utt1,H2KH5Kc_mean,0.0987153652392947
VF19B_eng_utt1,VF21A_eng_utt2,H2KH5Kc_mean,0.20056799057950103
VF19B_eng_utt1,VF21B_can_utt1,H2KH5Kc_mean,0.143930099314654
VF19B_eng_utt1,VF21B_can_utt2,H2KH5Kc_mean,0.12872966393642632
VF19B_eng_utt1,VF21B_eng_utt1,H2KH5Kc_mean,0.06570379348875971
VF19B_eng_utt1,VF21B_eng_utt2,H2KH5Kc_mean,0.021959167440010585
VF19B_eng_utt1,VF21C_can_utt1,H2KH5Kc_mean,0.15810773384112903
VF19B_eng_utt1,VF21C_can_utt2,H2KH5Kc_mean,0.10799999017975953
VF19B_eng_utt1,VF21C_eng_utt1,H2KH5Kc_mean,0.03440484480457412
VF19B_eng_utt1,VF21C_eng_utt2,H2KH5Kc_mean,0.10351980841755493
VF19B_eng_utt1,VF21D_can_utt1,H2KH5Kc_mean,0.1541028198187025
VF19B_eng_utt1,VF21D_can_utt2,H2KH5Kc_mean,0.1250360641996639
VF19B_eng_utt1,VF21D_eng_utt1,H2KH5Kc_mean,0.06540355296301209
VF19B_eng_utt1,VF21D_eng_utt2,H2KH5Kc_mean,0.04356133880040153
VF19B_eng_utt1,VF23B_can_utt1,H2KH5Kc_mean,0.0029802171255173815
VF19B_eng_utt1,VF23B_can_utt2,H2KH5Kc_mean,0.054103828647379004
VF19B_eng_utt1,VF23B_eng_utt1,H2KH5Kc_mean,0.043152154806271215
VF19B_eng_utt1,VF23B_eng_utt2,H2KH5Kc_mean,0.024112267444429736
VF19B_eng_utt1,VF23C_can_utt1,H2KH5Kc_mean,0.16495784170754346
VF19B_eng_utt1,VF23C_can_utt2,H2KH5Kc_mean,0.16173772157004063
VF19B_eng_utt1,VF23C_eng_utt1,H2KH5Kc_mean,0.052983783540406115
VF19B_eng_utt1,VF23C_eng_utt2,H2KH5Kc_mean,0.060268780560083
VF19B_eng_utt1,VF26A_can_utt1,H2KH5Kc_mean,0.1099337133766406
VF19B_eng_utt1,VF26A_can_utt2,H2KH5Kc_mean,0.09205933001667632
VF19B_eng_utt1,VF26A_eng_utt1,H2KH5Kc_mean,0.10296608410629632
VF19B_eng_utt1,VF26A_eng_utt2,H2KH5Kc_mean,0.16798489715072523
VF19B_eng_utt1,VF32A_can_utt1,H2KH5Kc_mean,0.08495361830268372
VF19B_eng_utt1,VF32A_can_utt2,H2KH5Kc_mean,0.0874960073659875
VF19B_eng_utt1,VF32A_eng_utt1,H2KH5Kc_mean,0.001969852056132315
VF19B_eng_utt1,VF32A_eng_utt2,H2KH5Kc_mean,0.07246267548257312
VF19B_eng_utt2,VF19D_can_utt1,H2KH5Kc_mean,0.04682132135548611
VF19B_eng_utt2,VF19D_can_utt2,H2KH5Kc_mean,0.06374657304899667
