label1,label2,feature,dissimilarity
VF19B_can_utt1,VF19B_can_utt2,H42Kc_mean,0.004236605516925174
VF19B_can_utt1,VF19B_eng_utt1,H42Kc_mean,0.048452279357117156
VF19B_can_utt1,VF19B_eng_utt2,H42Kc_mean,0.05622131083649107
VF19B_can_utt1,VF19D_can_utt1,H42Kc_mean,0.02405396077072053
VF19B_can_utt1,VF19D_can_utt2,H42Kc_mean,0.036010794165257765
VF19B_can_utt1,VF19D_eng_utt1,H42Kc_mean,0.06475618305923714
VF19B_can_utt1,VF19D_eng_utt2,H42Kc_mean,0.06401108663517552
VF19B_can_utt1,VF21A_can_utt1,H42Kc_mean,0.025956549746581903
VF19B_can_utt1,VF21A_can_utt2,H42Kc_mean,0.01707861942003519
VF19B_can_utt1,VF21A_eng_utt1,H42Kc_mean,0.1677204751971953
VF19B_can_utt1,VF21A_eng_utt2,H42Kc_mean,0.21805621182531226
VF19B_can_utt1,VF21B_can_utt1,H42Kc_mean,0.07190009759878047
VF19B_can_utt1,VF21B_can_utt2,H42Kc_mean,0.0026171721100320955
VF19B_can_utt1,VF21B_eng_utt1,H42Kc_mean,0.040310204415614614
VF19B_can_utt1,VF21B_eng_utt2,H42Kc_mean,0.05105897817285043
VF19B_can_utt1,VF21C_can_utt1,H42Kc_mean,0.051945137282014775
VF19B_can_utt1,VF21C_can_utt2,H42Kc_mean,0.021329815128560026
VF19B_can_utt1,VF21C_eng_utt1,H42Kc_mean,0.06512116821895897
VF19B_can_utt1,VF21C_eng_utt2,H42Kc_mean,0.023119373188977388
VF19B_can_utt1,VF21D_can_utt1,H42Kc_mean,0.0029934401100728536
VF19B_can_utt1,VF21D_can_utt2,H42Kc_mean,0.015715058293658157
VF19B_can_utt1,VF21D_eng_utt1,H42Kc_mean,0.023023764650785594
VF19B_can_utt1,VF21D_eng_utt2,H42Kc_mean,0.009163358083222883
VF19B_can_utt1,VF23B_can_utt1,H42Kc_mean,0.07217968196818247
VF19B_can_utt1,VF23B_can_utt2,H42Kc_mean,0.014602679662857776
VF19B_can_utt1,VF23B_eng_utt1,H42Kc_mean,0.015985358846306696
VF19B_can_utt1,VF23B_eng_utt2,H42Kc_mean,0.04487697112991984
VF19B_can_utt1,VF23C_can_utt1,H42Kc_mean,0.13016675814518108
VF19B_can_utt1,VF23C_can_utt2,H42Kc_mean,0.1633786993043685
VF19B_can_utt1,VF23C_eng_utt1,H42Kc_mean,0.0018491948201448949
VF19B_can_utt1,VF23C_eng_utt2,H42Kc_mean,0.002803883839354704
VF19B_can_utt1,VF26A_can_utt1,H42Kc_mean,0.050709795417510306
VF19B_can_utt1,VF26A_can_utt2,H42Kc_mean,0.01893163969559508
VF19B_can_utt1,VF26A_eng_utt1,H42Kc_mean,0.0768917311745333
VF19B_can_utt1,VF26A_eng_utt2,H42Kc_mean,0.014838087491485519
VF19B_can_utt1,VF32A_can_utt1,H42Kc_mean,0.0355507622553618
VF19B_can_utt1,VF32A_can_utt2,H42Kc_mean,0.05225730284365093
VF19B_can_utt1,VF32A_eng_utt1,H42Kc_mean,0.06761250508311967
VF19B_can_utt1,VF32A_eng_utt2,H42Kc_mean,0.03916045292174897
VF19B_can_utt2,VF19B_eng_utt1,H42Kc_mean,0.05268888487404233
VF19B_can_utt2,VF19B_eng_utt2,H42Kc_mean,0.051984705319565894
VF19B_can_utt2,VF19D_can_utt1,H42Kc_mean,0.028290566287645702
VF19B_can_utt2,VF19D_can_utt2,H42Kc_mean,0.04024739968218294
VF19B_can_utt2,VF19D_eng_utt1,H42Kc_mean,0.06899278857616231
