trial_id,subject,label1,label2,dissimilarity
T001,subjC018,VF19B_Can_utt1,VF19B_Can_utt2,0.0
T002,subjC018,VF19B_Can_utt1,VF19D_Can_utt2,0.625
T003,subjC018,VF19B_Can_utt1,VF21A_Can_utt2,0.375
T004,subjC018,VF19B_Can_utt1,VF21B_Can_utt2,0.25
T005,subjC018,VF19B_Can_utt1,VF21C_Can_utt2,0.25
T006,subjC018,VF19B_Can_utt1,VF21D_Can_utt2,0.375
T007,subjC018,VF19B_Can_utt1,VF23B_Can_utt2,0.875
T008,subjC018,VF19B_Can_utt1,VF23C_Can_utt2,0.125
T009,subjC018,VF19B_Can_utt1,VF26A_Can_utt2,0.75
T010,subjC018,VF19B_Can_utt1,VF32A_Can_utt2,0.75
T011,subjC018,VF19D_Can_utt1,VF19D_Can_utt2,0.0
T012,subjC018,VF19D_Can_utt1,VF21A_Can_utt2,0.375
T013,subjC018,VF19D_Can_utt1,VF21B_Can_utt2,0.625
T014,subjC018,VF19D_Can_utt1,VF21C_Can_utt2,0.5
T015,subjC018,VF19D_Can_utt1,VF21D_Can_utt2,0.875
T016,subjC018,VF19D_Can_utt1,VF23B_Can_utt2,0.25
T017,subjC018,VF19D_Can_utt1,VF23C_Can_utt2,0.625
T018,subjC018,VF19D_Can_utt1,VF26A_Can_utt2,0.375
T019,subjC018,VF19D_Can_utt1,VF32A_Can_utt2,0.25
T020,subjC018,VF21A_Can_utt1,VF21A_Can_utt2,0.0
T021,subjC018,VF21A_Can_utt1,VF21B_Can_utt2,0.625
T022,subjC018,VF21A_Can_utt1,VF21C_Can_utt2,0.875
T023,subjC018,VF21A_Can_utt1,VF21D_Can_utt2,0.625
T024,subjC018,VF21A_Can_utt1,VF23B_Can_utt2,0.125
T025,subjC018,VF21A_Can_utt1,VF23C_Can_utt2,0.125
T026,subjC018,VF21A_Can_utt1,VF26A_Can_utt2,1.0
T027,subjC018,VF21A_Can_utt1,VF32A_Can_utt2,0.75
T028,subjC018,VF21B_Can_utt1,VF21B_Can_utt2,0.0
T029,subjC018,VF21B_Can_utt1,VF21C_Can_utt2,0.125
T030,subjC018,VF21B_Can_utt1,VF21D_Can_utt2,0.125
T031,subjC018,VF21B_Can_utt1,VF23B_Can_utt2,0.375
T032,subjC018,VF21B_Can_utt1,VF23C_Can_utt2,0.875
T033,subjC018,VF21B_Can_utt1,VF26A_Can_utt2,0.625
T034,subjC018,VF21B_Can_utt1,VF32A_Can_utt2,0.75
T035,subjC018,VF21C_Can_utt1,VF21C_Can_utt2,0.0
T036,subjC018,VF21C_Can_utt1,VF21D_Can_utt2,0.125
T037,subjC018,VF21C_Can_utt1,VF23B_Can_utt2,0.875
T038,subjC018,VF21C_Can_utt1,VF23C_Can_utt2,0.75
T039,subjC018,VF21C_Can_utt1,VF26A_Can_utt2,0.625
T040,subjC018,VF21C_Can_utt1,VF32A_Can_utt2,0.375
T041,subjC018,VF21D_Can_utt1,VF21D_Can_utt2,0.0
T042,subjC018,VF21D_Can_utt1,VF23B_Can_utt2,1.0
T043,subjC018,VF21D_Can_utt1,VF23C_Can_utt2,0.75
T044,subjC018,VF21D_Can_utt1,VF26A_Can_utt2,0.25
T045,subjC018,VF21D_Can_utt1,VF32A_Can_utt2,0.375
T046,subjC018,VF23B_Can_utt1,VF23B_Can_utt2,0.0
T047,subjC018,VF23B_Can_utt1,VF23C_Can_utt2,0.25
T048,subjC018,VF23B_Can_utt1,VF26A_Can_utt2,1.0
T049,subjC018,VF23B_Can_utt1,VF32A_Can_utt2,0.375
T050,subjC018,VF23C_Can_utt1,VF23C_Can_utt2,0.125
T051,subjC018,VF23C_Can_utt1,VF26A_Can_utt2,0.625
T052,subjC018,VF23C_Can_utt1,VF32A_Can_utt2,0.625
T053,subjC018,VF26A_Can_utt1,VF26A_Can_utt2,0.0
T054,subjC018,VF26A_Can_utt1,VF32A_Can_utt2,0.125
T055,subjC018,VF32A_Can_utt1,VF32A_Can_utt2,0.125
T056,subjC018,VF19B_Can_utt1,VF19B_Eng_utt2,0.125
T057,subjC018,VF19B_Can_utt1,VF19D_Eng_utt2,0.625
T058,subjC018,VF19B_Can_utt1,VF21A_Eng_utt2,1.0
T059,subjC018,VF19B_Can_utt1,VF21B_Eng_utt2,0.375
T060,subjC018,VF19B_Can_utt1,VF21C_Eng_utt2,1.0
T061,subjC018,VF19B_Can_utt1,VF21D_Eng_utt2,0.5
T062,subjC018,VF19B_Can_utt1,VF23B_Eng_utt2,0.5
T063,subjC018,VF19B_Can_utt1,VF23C_Eng_utt2,0.75
T064,subjC018,VF19B_Can_utt1,VF26A_Eng_utt2,0.375
T065,subjC018,VF19B_Can_utt1,VF32A_Eng_utt2,0.375
T066,subjC018,VF19D_Can_utt1,VF19D_Eng_utt2,0.125
T067,subjC018,VF19D_Can_utt1,VF21A_Eng_utt2,0.875
T068,subjC018,VF19D_Can_utt1,VF21B_Eng_utt2,0.875
T069,subjC018,VF19D_Can_utt1,VF21C_Eng_utt2,1.0
T070,subjC018,VF19D_Can_utt1,VF21D_Eng_utt2,0.875
T071,subjC018,VF19D_Can_utt1,VF23B_Eng_utt2,0.375
T072,subjC018,VF19D_Can_utt1,VF23C_Eng_utt2,0.75
T073,subjC018,VF19D_Can_utt1,VF26A_Eng_utt2,0.375
T074,subjC018,VF19D_Can_utt1,VF32A_Eng_utt2,0.25
T075,subjC018,VF21A_Can_utt1,VF21A_Eng_utt2,1.0
T076,subjC018,VF21A_Can_utt1,VF21B_Eng_utt2,1.0
T077,subjC018,VF21A_Can_utt1,VF21C_Eng_utt2,0.375
T078,subjC018,VF21A_Can_utt1,VF21D_Eng_utt2,1.0
T079,subjC018,VF21A_Can_utt1,VF23B_Eng_utt2,1.0
T080,subjC018,VF21A_Can_utt1,VF23C_Eng_utt2,0.625
T081,subjC018,VF21A_Can_utt1,VF26A_Eng_utt2,0.5
T082,subjC018,VF21A_Can_utt1,VF32A_Eng_utt2,0.875
T083,subjC018,VF21B_Can_utt1,VF21B_Eng_utt2,0.375
T084,subjC018,VF21B_Can_utt1,VF21C_Eng_utt2,0.75
T085,subjC018,VF21B_Can_utt1,VF21D_Eng_utt2,0.375
T086,subjC018,VF21B_Can_utt1,VF23B_Eng_utt2,0.75
T087,subjC018,VF21B_Can_utt1,VF23C_Eng_utt2,0.625
T088,subjC018,VF21B_Can_utt1,VF26A_Eng_utt2,0.625
T089,subjC018,VF21B_Can_utt1,VF32A_Eng_utt2,0.375
T090,subjC018,VF21C_Can_utt1,VF21C_Eng_utt2,0.25
T091,subjC018,VF21C_Can_utt1,VF21D_Eng_utt2,0.5
T092,subjC018,VF21C_Can_utt1,VF23B_Eng_utt2,1.0
T093,subjC018,VF21C_Can_utt1,VF23C_Eng_utt2,1.0
T094,subjC018,VF21C_Can_utt1,VF26A_Eng_utt2,0.25
T095,subjC018,VF21C_Can_utt1,VF32A_Eng_utt2,0.25
T096,subjC018,VF21D_Can_utt1,VF21D_Eng_utt2,0.125
T097,subjC018,VF21D_Can_utt1,VF23B_Eng_utt2,1.0
T098,subjC018,VF21D_Can_utt1,VF23C_Eng_utt2,1.0
T099,subjC018,VF21D_Can_utt1,VF26A_Eng_utt2,0.25
T100,subjC018,VF21D_Can_utt1,VF32A_Eng_utt2,0.875
T101,subjC018,VF23B_Can_utt1,VF23B_Eng_utt2,0.125
T102,subjC018,VF23B_Can_utt1,VF23C_Eng_utt2,0.875
T103,subjC018,VF23B_Can_utt1,VF26A_Eng_utt2,0.75
T104,subjC018,VF23B_Can_utt1,VF32A_Eng_utt2,1.0
