trial_id,subject,label1,label2,dissimilarity
T001,subjE015,VF19B_Can_utt1,VF19B_Can_utt2,0.25
T002,subjE015,VF19B_Can_utt1,VF19D_Can_utt2,0.5
T003,subjE015,VF19B_Can_utt1,VF21A_Can_utt2,0.375
T004,subjE015,VF19B_Can_utt1,VF21B_Can_utt2,0.125
T005,subjE015,VF19B_Can_utt1,VF21C_Can_utt2,0.5
T006,subjE015,VF19B_Can_utt1,VF21D_Can_utt2,0.25
T007,subjE015,VF19B_Can_utt1,VF23B_Can_utt2,1.0
T008,subjE015,VF19B_Can_utt1,VF23C_Can_utt2,0.75
T009,subjE015,VF19B_Can_utt1,VF26A_Can_utt2,0.625
T010,subjE015,VF19B_Can_utt1,VF32A_Can_utt2,0.875
T011,subjE015,VF19D_Can_utt1,VF19D_Can_utt2,0.0
T012,subjE015,VF19D_Can_utt1,VF21A_Can_utt2,0.125
T013,subjE015,VF19D_Can_utt1,VF21B_Can_utt2,0.625
T014,subjE015,VF19D_Can_utt1,VF21C_Can_utt2,0.875
T015,subjE015,VF19D_Can_utt1,VF21D_Can_utt2,0.125
T016,subjE015,VF19D_Can_utt1,VF23B_Can_utt2,0.25
T017,subjE015,VF19D_Can_utt1,VF23C_Can_utt2,0.375
T018,subjE015,VF19D_Can_utt1,VF26A_Can_utt2,0.875
T019,subjE015,VF19D_Can_utt1,VF32A_Can_utt2,0.0
T020,subjE015,VF21A_Can_utt1,VF21A_Can_utt2,0.125
T021,subjE015,VF21A_Can_utt1,VF21B_Can_utt2,0.875
T022,subjE015,VF21A_Can_utt1,VF21C_Can_utt2,1.0
T023,subjE015,VF21A_Can_utt1,VF21D_Can_utt2,0.75
T024,subjE015,VF21A_Can_utt1,VF23B_Can_utt2,0.625
T025,subjE015,VF21A_Can_utt1,VF23C_Can_utt2,1.0
T026,subjE015,VF21A_Can_utt1,VF26A_Can_utt2,0.375
T027,subjE015,VF21A_Can_utt1,VF32A_Can_utt2,0.125
T028,subjE015,VF21B_Can_utt1,VF21B_Can_utt2,0.0
T029,subjE015,VF21B_Can_utt1,VF21C_Can_utt2,0.875
T030,subjE015,VF21B_Can_utt1,VF21D_Can_utt2,0.375
T031,subjE015,VF21B_Can_utt1,VF23B_Can_utt2,0.625
T032,subjE015,VF21B_Can_utt1,VF23C_Can_utt2,0.0
T033,subjE015,VF21B_Can_utt1,VF26A_Can_utt2,0.5
T034,subjE015,VF21B_Can_utt1,VF32A_Can_utt2,0.375
T035,subjE015,VF21C_Can_utt1,VF21C_Can_utt2,0.125
T036,subjE015,VF21C_Can_utt1,VF21D_Can_utt2,0.5
T037,subjE015,VF21C_Can_utt1,VF23B_Can_utt2,1.0
T038,subjE015,VF21C_Can_utt1,VF23C_Can_utt2,0.75
T039,subjE015,VF21C_Can_utt1,VF26A_Can_utt2,0.75
T040,subjE015,VF21C_Can_utt1,VF32A_Can_utt2,0.375
T041,subjE015,VF21D_Can_utt1,VF21D_Can_utt2,0.75
T042,subjE015,VF21D_Can_utt1,VF23B_Can_utt2,0.25
T043,subjE015,VF21D_Can_utt1,VF23C_Can_utt2,0.375
T044,subjE015,VF21D_Can_utt1,VF26A_Can_utt2,1.0
T045,subjE015,VF21D_Can_utt1,VF32A_Can_utt2,1.0
T046,subjE015,VF23B_Can_utt1,VF23B_Can_utt2,0.0
T047,subjE015,VF23B_Can_utt1,VF23C_Can_utt2,0.25
T048,subjE015,VF23B_Can_utt1,VF26A_Can_utt2,1.0
T049,subjE015,VF23B_Can_utt1,VF32A_Can_utt2,0.375
T050,subjE015,VF23C_Can_utt1,VF23C_Can_utt2,0.75
T051,subjE015,VF23C_Can_utt1,VF26A_Can_utt2,1.0
T052,subjE015,VF23C_Can_utt1,VF32A_Can_utt2,0.875
T053,subjE015,VF26A_Can_utt1,VF26A_Can_utt2,0.0
T054,subjE015,VF26A_Can_utt1,VF32A_Can_utt2,0.375
T055,subjE015,VF32A_Can_utt1,VF32A_Can_utt2,0.0
T056,subjE015,VF19B_Can_utt1,VF19B_Eng_utt2,0.875
T057,subjE015,VF19B_Can_utt1,VF19D_Eng_utt2,0.625
T058,subjE015,VF19B_Can_utt1,VF21A_Eng_utt2,0.625
T059,subjE015,VF19B_Can_utt1,VF21B_Eng_utt2,0.5
T060,subjE015,VF19B_Can_utt1,VF21C_Eng_utt2,0.75
T061,subjE015,VF19B_Can_utt1,VF21D_Eng_utt2,0.125
T062,subjE015,VF19B_Can_utt1,VF23B_Eng_utt2,0.875
T063,subjE015,VF19B_Can_utt1,VF23C_Eng_utt2,0.5
T064,subjE015,VF19B_Can_utt1,VF26A_Eng_utt2,1.0
T065,subjE015,VF19B_Can_utt1,VF32A_Eng_utt2,0.75
T066,subjE015,VF19D_Can_utt1,VF19D_Eng_utt2,0.125
T067,subjE015,VF19D_Can_utt1,VF21A_Eng_utt2,1.0
T068,subjE015,VF19D_Can_utt1,VF21B_Eng_utt2,0.625
T069,subjE015,VF19D_Can_utt1,VF21C_Eng_utt2,0.625
