trial_id,subject,label1,label2,dissimilarity
T001,cnceleb_resnet34,VF19B_Can_utt1,VF19B_Can_utt2,0.12090425277518077
T002,cnceleb_resnet34,VF19B_Can_utt1,VF19D_Can_utt2,0.7711345915932003
T003,cnceleb_resnet34,VF19B_Can_utt1,VF21A_Can_utt2,0.7482150480211696
T004,cnceleb_resnet34,VF19B_Can_utt1,VF21B_Can_utt2,0.4122352072670815
T005,cnceleb_resnet34,VF19B_Can_utt1,VF21C_Can_utt2,0.5008976453069247
T006,cnceleb_resnet34,VF19B_Can_utt1,VF21D_Can_utt2,0.6775529922912653
T007,cnceleb_resnet34,VF19B_Can_utt1,VF23B_Can_utt2,0.7024659640000054
T008,cnceleb_resnet34,VF19B_Can_utt1,VF23C_Can_utt2,0.6253485506561858
T009,cnceleb_resnet34,VF19B_Can_utt1,VF26A_Can_utt2,0.6574630527641144
T010,cnceleb_resnet34,VF19B_Can_utt1,VF32A_Can_utt2,0.7457873690930772
T011,cnceleb_resnet34,VF19D_Can_utt1,VF19D_Can_utt2,0.20536501070625715
T012,cnceleb_resnet34,VF19D_Can_utt1,VF21A_Can_utt2,0.5208130296522521
T013,cnceleb_resnet34,VF19D_Can_utt1,VF21B_Can_utt2,0.6362615461159903
T014,cnceleb_resnet34,VF19D_Can_utt1,VF21C_Can_utt2,0.5756768636965995
T015,cnceleb_resnet34,VF19D_Can_utt1,VF21D_Can_utt2,0.7471989350870646
T016,cnceleb_resnet34,VF19D_Can_utt1,VF23B_Can_utt2,0.727168351589819
T017,cnceleb_resnet34,VF19D_Can_utt1,VF23C_Can_utt2,0.44208602960009924
T018,cnceleb_resnet34,VF19D_Can_utt1,VF26A_Can_utt2,0.6204688966291593
T019,cnceleb_resnet34,VF19D_Can_utt1,VF32A_Can_utt2,0.3966983943826179
T020,cnceleb_resnet34,VF21A_Can_utt1,VF21A_Can_utt2,0.18815065451595644
T021,cnceleb_resnet34,VF21A_Can_utt1,VF21B_Can_utt2,0.6207897652899477
T022,cnceleb_resnet34,VF21A_Can_utt1,VF21C_Can_utt2,0.6302529507831437
T023,cnceleb_resnet34,VF21A_Can_utt1,VF21D_Can_utt2,0.722038242804536
T024,cnceleb_resnet34,VF21A_Can_utt1,VF23B_Can_utt2,0.7163620931540541
T025,cnceleb_resnet34,VF21A_Can_utt1,VF23C_Can_utt2,0.6890537681918173
T026,cnceleb_resnet34,VF21A_Can_utt1,VF26A_Can_utt2,0.6296001728939051
T027,cnceleb_resnet34,VF21A_Can_utt1,VF32A_Can_utt2,0.7817552023645851
T028,cnceleb_resnet34,VF21B_Can_utt1,VF21B_Can_utt2,0.1945655358167672
T029,cnceleb_resnet34,VF21B_Can_utt1,VF21C_Can_utt2,0.5478615897850694
T030,cnceleb_resnet34,VF21B_Can_utt1,VF21D_Can_utt2,0.6047053194835064
T031,cnceleb_resnet34,VF21B_Can_utt1,VF23B_Can_utt2,1.0
T032,cnceleb_resnet34,VF21B_Can_utt1,VF23C_Can_utt2,0.5966052114724043
T033,cnceleb_resnet34,VF21B_Can_utt1,VF26A_Can_utt2,0.6117920487449714
T034,cnceleb_resnet34,VF21B_Can_utt1,VF32A_Can_utt2,0.6701553793338094
T035,cnceleb_resnet34,VF21C_Can_utt1,VF21C_Can_utt2,0.1707262160507139
T036,cnceleb_resnet34,VF21C_Can_utt1,VF21D_Can_utt2,0.7627750302420486
T037,cnceleb_resnet34,VF21C_Can_utt1,VF23B_Can_utt2,0.7204301789331216
T038,cnceleb_resnet34,VF21C_Can_utt1,VF23C_Can_utt2,0.7072649249752976
T039,cnceleb_resnet34,VF21C_Can_utt1,VF26A_Can_utt2,0.8338515571883558
T040,cnceleb_resnet34,VF21C_Can_utt1,VF32A_Can_utt2,0.7219145296098441
T041,cnceleb_resnet34,VF21D_Can_utt1,VF21D_Can_utt2,0.5368785438269976
T042,cnceleb_resnet34,VF21D_Can_utt1,VF23B_Can_utt2,0.8793549409903938
T043,cnceleb_resnet34,VF21D_Can_utt1,VF23C_Can_utt2,0.7211214084545612
T044,cnceleb_resnet34,VF21D_Can_utt1,VF26A_Can_utt2,0.48387703550461814
T045,cnceleb_resnet34,VF21D_Can_utt1,VF32A_Can_utt2,0.6730906647998647
T046,cnceleb_resnet34,VF23B_Can_utt1,VF23B_Can_utt2,0.1948488527035339
T047,cnceleb_resnet34,VF23B_Can_utt1,VF23C_Can_utt2,0.6942085365522067
T048,cnceleb_resnet34,VF23B_Can_utt1,VF26A_Can_utt2,0.6556730964057219
T049,cnceleb_resnet34,VF23B_Can_utt1,VF32A_Can_utt2,0.6532071908099732
T050,cnceleb_resnet34,VF23C_Can_utt1,VF23C_Can_utt2,0.11516551106634101
T051,cnceleb_resnet34,VF23C_Can_utt1,VF26A_Can_utt2,0.760493716707816
T052,cnceleb_resnet34,VF23C_Can_utt1,VF32A_Can_utt2,0.5239659250530185
T053,cnceleb_resnet34,VF26A_Can_utt1,VF26A_Can_utt2,0.1356248942909988
T054,cnceleb_resnet34,VF26A_Can_utt1,VF32A_Can_utt2,0.5902742592517803
T055,cnceleb_resnet34,VF32A_Can_utt1,VF32A_Can_utt2,0.0
T056,cnceleb_resnet34,VF19B_Can_utt1,VF19B_Eng_utt2,0.3339265028285937
T057,cnceleb_resnet34,VF19B_Can_utt1,VF19D_Eng_utt2,0.7344346371679887
T058,cnceleb_resnet34,VF19B_Can_utt1,VF21A_Eng_utt2,0.5128614328506682
T059,cnceleb_resnet34,VF19B_Can_utt1,VF21B_Eng_utt2,0.4693675491715712
T060,cnceleb_resnet34,VF19B_Can_utt1,VF21C_Eng_utt2,0.6322451675723039
T061,cnceleb_resnet34,VF19B_Can_utt1,VF21D_Eng_utt2,0.44022166189226275
T062,cnceleb_resnet34,VF19B_Can_utt1,VF23B_Eng_utt2,0.6327739380824459
T063,cnceleb_resnet34,VF19B_Can_utt1,VF23C_Eng_utt2,0.5690785843768569
T064,cnceleb_resnet34,VF19B_Can_utt1,VF26A_Eng_utt2,0.8306846188085024
T065,cnceleb_resnet34,VF19B_Can_utt1,VF32A_Eng_utt2,0.6983733570855514
T066,cnceleb_resnet34,VF19D_Can_utt1,VF19D_Eng_utt2,0.19386869948667176
T067,cnceleb_resnet34,VF19D_Can_utt1,VF21A_Eng_utt2,0.46810452899703203
T068,cnceleb_resnet34,VF19D_Can_utt1,VF21B_Eng_utt2,0.4297516389261947
T069,cnceleb_resnet34,VF19D_Can_utt1,VF21C_Eng_utt2,0.7974481146857135
T070,cnceleb_resnet34,VF19D_Can_utt1,VF21D_Eng_utt2,0.7847982458476142
T071,cnceleb_resnet34,VF19D_Can_utt1,VF23B_Eng_utt2,0.4522578187995817
T072,cnceleb_resnet34,VF19D_Can_utt1,VF23C_Eng_utt2,0.44607437410050665
T073,cnceleb_resnet34,VF19D_Can_utt1,VF26A_Eng_utt2,0.5738915796787536
T074,cnceleb_resnet34,VF19D_Can_utt1,VF32A_Eng_utt2,0.5151931384429428
T075,cnceleb_resnet34,VF21A_Can_utt1,VF21A_Eng_utt2,0.3368216926907741
T076,cnceleb_resnet34,VF21A_Can_utt1,VF21B_Eng_utt2,0.6247633313502563
T077,cnceleb_resnet34,VF21A_Can_utt1,VF21C_Eng_utt2,0.8475063426482137
