trial_id,subject,label1,label2,dissimilarity
T001,cnceleb_resnet34_LM,VF19B_Can_utt1,VF19B_Can_utt2,0.11405334077074142
T002,cnceleb_resnet34_LM,VF19B_Can_utt1,VF19D_Can_utt2,0.8300250669293847
T003,cnceleb_resnet34_LM,VF19B_Can_utt1,VF21A_Can_utt2,0.7556701473968932
T004,cnceleb_resnet34_LM,VF19B_Can_utt1,VF21B_Can_utt2,0.47457090795430534
T005,cnceleb_resnet34_LM,VF19B_Can_utt1,VF21C_Can_utt2,0.5009413688394831
T006,cnceleb_resnet34_LM,VF19B_Can_utt1,VF21D_Can_utt2,0.7176756056971307
T007,cnceleb_resnet34_LM,VF19B_Can_utt1,VF23B_Can_utt2,0.7006103504512751
T008,cnceleb_resnet34_LM,VF19B_Can_utt1,VF23C_Can_utt2,0.6251120047564631
T009,cnceleb_resnet34_LM,VF19B_Can_utt1,VF26A_Can_utt2,0.6691454748224059
T010,cnceleb_resnet34_LM,VF19B_Can_utt1,VF32A_Can_utt2,0.7444454072200465
T011,cnceleb_resnet34_LM,VF19D_Can_utt1,VF19D_Can_utt2,0.20132552224805156
T012,cnceleb_resnet34_LM,VF19D_Can_utt1,VF21A_Can_utt2,0.5136913844931922
T013,cnceleb_resnet34_LM,VF19D_Can_utt1,VF21B_Can_utt2,0.634116594994068
T014,cnceleb_resnet34_LM,VF19D_Can_utt1,VF21C_Can_utt2,0.573254171931318
T015,cnceleb_resnet34_LM,VF19D_Can_utt1,VF21D_Can_utt2,0.8130027822124815
T016,cnceleb_resnet34_LM,VF19D_Can_utt1,VF23B_Can_utt2,0.7711882318092256
T017,cnceleb_resnet34_LM,VF19D_Can_utt1,VF23C_Can_utt2,0.4272267636786683
T018,cnceleb_resnet34_LM,VF19D_Can_utt1,VF26A_Can_utt2,0.6322921840133736
T019,cnceleb_resnet34_LM,VF19D_Can_utt1,VF32A_Can_utt2,0.4277264342609769
T020,cnceleb_resnet34_LM,VF21A_Can_utt1,VF21A_Can_utt2,0.17448267082591667
T021,cnceleb_resnet34_LM,VF21A_Can_utt1,VF21B_Can_utt2,0.6478571259153687
T022,cnceleb_resnet34_LM,VF21A_Can_utt1,VF21C_Can_utt2,0.6332782595873101
T023,cnceleb_resnet34_LM,VF21A_Can_utt1,VF21D_Can_utt2,0.805823547950606
T024,cnceleb_resnet34_LM,VF21A_Can_utt1,VF23B_Can_utt2,0.7683562599901186
T025,cnceleb_resnet34_LM,VF21A_Can_utt1,VF23C_Can_utt2,0.6837921133415633
T026,cnceleb_resnet34_LM,VF21A_Can_utt1,VF26A_Can_utt2,0.7036902319112761
T027,cnceleb_resnet34_LM,VF21A_Can_utt1,VF32A_Can_utt2,0.7798637854736816
T028,cnceleb_resnet34_LM,VF21B_Can_utt1,VF21B_Can_utt2,0.18059939189658647
T029,cnceleb_resnet34_LM,VF21B_Can_utt1,VF21C_Can_utt2,0.5662318603355464
T030,cnceleb_resnet34_LM,VF21B_Can_utt1,VF21D_Can_utt2,0.6363441800829254
T031,cnceleb_resnet34_LM,VF21B_Can_utt1,VF23B_Can_utt2,1.0
T032,cnceleb_resnet34_LM,VF21B_Can_utt1,VF23C_Can_utt2,0.5752216515943005
T033,cnceleb_resnet34_LM,VF21B_Can_utt1,VF26A_Can_utt2,0.5727977571594819
T034,cnceleb_resnet34_LM,VF21B_Can_utt1,VF32A_Can_utt2,0.6531907313834986
T035,cnceleb_resnet34_LM,VF21C_Can_utt1,VF21C_Can_utt2,0.16935437890172345
T036,cnceleb_resnet34_LM,VF21C_Can_utt1,VF21D_Can_utt2,0.7973619910863521
T037,cnceleb_resnet34_LM,VF21C_Can_utt1,VF23B_Can_utt2,0.7077824705052451
T038,cnceleb_resnet34_LM,VF21C_Can_utt1,VF23C_Can_utt2,0.7016960427659821
T039,cnceleb_resnet34_LM,VF21C_Can_utt1,VF26A_Can_utt2,0.7971436794031597
T040,cnceleb_resnet34_LM,VF21C_Can_utt1,VF32A_Can_utt2,0.7238155237213969
T041,cnceleb_resnet34_LM,VF21D_Can_utt1,VF21D_Can_utt2,0.5286972281062402
T042,cnceleb_resnet34_LM,VF21D_Can_utt1,VF23B_Can_utt2,0.8953201719625294
T043,cnceleb_resnet34_LM,VF21D_Can_utt1,VF23C_Can_utt2,0.7399001415722916
T044,cnceleb_resnet34_LM,VF21D_Can_utt1,VF26A_Can_utt2,0.47025220932372847
T045,cnceleb_resnet34_LM,VF21D_Can_utt1,VF32A_Can_utt2,0.6806195153875569
T046,cnceleb_resnet34_LM,VF23B_Can_utt1,VF23B_Can_utt2,0.2359567731277717
T047,cnceleb_resnet34_LM,VF23B_Can_utt1,VF23C_Can_utt2,0.7143300201614244
T048,cnceleb_resnet34_LM,VF23B_Can_utt1,VF26A_Can_utt2,0.6815133737101481
T049,cnceleb_resnet34_LM,VF23B_Can_utt1,VF32A_Can_utt2,0.5960933468413538
T050,cnceleb_resnet34_LM,VF23C_Can_utt1,VF23C_Can_utt2,0.0917401180030456
T051,cnceleb_resnet34_LM,VF23C_Can_utt1,VF26A_Can_utt2,0.7773168277231659
T052,cnceleb_resnet34_LM,VF23C_Can_utt1,VF32A_Can_utt2,0.5233154278913225
T053,cnceleb_resnet34_LM,VF26A_Can_utt1,VF26A_Can_utt2,0.12619813167973587
T054,cnceleb_resnet34_LM,VF26A_Can_utt1,VF32A_Can_utt2,0.6123177348069615
T055,cnceleb_resnet34_LM,VF32A_Can_utt1,VF32A_Can_utt2,0.0
T056,cnceleb_resnet34_LM,VF19B_Can_utt1,VF19B_Eng_utt2,0.30830359604086843
T057,cnceleb_resnet34_LM,VF19B_Can_utt1,VF19D_Eng_utt2,0.762082330971825
T058,cnceleb_resnet34_LM,VF19B_Can_utt1,VF21A_Eng_utt2,0.4533566965822824
T059,cnceleb_resnet34_LM,VF19B_Can_utt1,VF21B_Eng_utt2,0.5110187245729194
T060,cnceleb_resnet34_LM,VF19B_Can_utt1,VF21C_Eng_utt2,0.6527114762599662
T061,cnceleb_resnet34_LM,VF19B_Can_utt1,VF21D_Eng_utt2,0.47497604337291854
T062,cnceleb_resnet34_LM,VF19B_Can_utt1,VF23B_Eng_utt2,0.6200182318961919
T063,cnceleb_resnet34_LM,VF19B_Can_utt1,VF23C_Eng_utt2,0.56437150388333
T064,cnceleb_resnet34_LM,VF19B_Can_utt1,VF26A_Eng_utt2,0.8123585808800946
T065,cnceleb_resnet34_LM,VF19B_Can_utt1,VF32A_Eng_utt2,0.6755332311671861
T066,cnceleb_resnet34_LM,VF19D_Can_utt1,VF19D_Eng_utt2,0.15614106605950795
T067,cnceleb_resnet34_LM,VF19D_Can_utt1,VF21A_Eng_utt2,0.45745993634486704
T068,cnceleb_resnet34_LM,VF19D_Can_utt1,VF21B_Eng_utt2,0.4326897621462207
T069,cnceleb_resnet34_LM,VF19D_Can_utt1,VF21C_Eng_utt2,0.8238940817827143
T070,cnceleb_resnet34_LM,VF19D_Can_utt1,VF21D_Eng_utt2,0.8133102800308691
T071,cnceleb_resnet34_LM,VF19D_Can_utt1,VF23B_Eng_utt2,0.46532889217166695
T072,cnceleb_resnet34_LM,VF19D_Can_utt1,VF23C_Eng_utt2,0.4941356572377841
T073,cnceleb_resnet34_LM,VF19D_Can_utt1,VF26A_Eng_utt2,0.5999066335990318
