trial_id,subject,label1,label2,dissimilarity
T001,voxblink2_samresnet100_ft,VF19B_Can_utt1,VF19B_Can_utt2,0.044793687620149986
T002,voxblink2_samresnet100_ft,VF19B_Can_utt1,VF19D_Can_utt2,0.5164878746173551
T003,voxblink2_samresnet100_ft,VF19B_Can_utt1,VF21A_Can_utt2,0.7843640147410882
T004,voxblink2_samresnet100_ft,VF19B_Can_utt1,VF21B_Can_utt2,0.5189171086241958
T005,voxblink2_samresnet100_ft,VF19B_Can_utt1,VF21C_Can_utt2,0.43330747414891313
T006,voxblink2_samresnet100_ft,VF19B_Can_utt1,VF21D_Can_utt2,0.5628470125630863
T007,voxblink2_samresnet100_ft,VF19B_Can_utt1,VF23B_Can_utt2,0.43185008134757386
T008,voxblink2_samresnet100_ft,VF19B_Can_utt1,VF23C_Can_utt2,0.4994344969064305
T009,voxblink2_samresnet100_ft,VF19B_Can_utt1,VF26A_Can_utt2,0.686768067101201
T010,voxblink2_samresnet100_ft,VF19B_Can_utt1,VF32A_Can_utt2,0.5571856470087254
T011,voxblink2_samresnet100_ft,VF19D_Can_utt1,VF19D_Can_utt2,0.09002231138795902
T012,voxblink2_samresnet100_ft,VF19D_Can_utt1,VF21A_Can_utt2,0.7333714876230777
T013,voxblink2_samresnet100_ft,VF19D_Can_utt1,VF21B_Can_utt2,0.3414504911420505
T014,voxblink2_samresnet100_ft,VF19D_Can_utt1,VF21C_Can_utt2,0.43154186832381924
T015,voxblink2_samresnet100_ft,VF19D_Can_utt1,VF21D_Can_utt2,0.5765346782241272
T016,voxblink2_samresnet100_ft,VF19D_Can_utt1,VF23B_Can_utt2,0.4527809836961675
T017,voxblink2_samresnet100_ft,VF19D_Can_utt1,VF23C_Can_utt2,0.3266173357725509
T018,voxblink2_samresnet100_ft,VF19D_Can_utt1,VF26A_Can_utt2,0.6095321219902412
T019,voxblink2_samresnet100_ft,VF19D_Can_utt1,VF32A_Can_utt2,0.4174099183400002
T020,voxblink2_samresnet100_ft,VF21A_Can_utt1,VF21A_Can_utt2,0.12162234135132033
T021,voxblink2_samresnet100_ft,VF21A_Can_utt1,VF21B_Can_utt2,0.5708135643005
T022,voxblink2_samresnet100_ft,VF21A_Can_utt1,VF21C_Can_utt2,0.5441746170231007
T023,voxblink2_samresnet100_ft,VF21A_Can_utt1,VF21D_Can_utt2,0.547179225058423
T024,voxblink2_samresnet100_ft,VF21A_Can_utt1,VF23B_Can_utt2,0.6855474383601629
T025,voxblink2_samresnet100_ft,VF21A_Can_utt1,VF23C_Can_utt2,0.5210055339966683
T026,voxblink2_samresnet100_ft,VF21A_Can_utt1,VF26A_Can_utt2,0.5899485100054379
T027,voxblink2_samresnet100_ft,VF21A_Can_utt1,VF32A_Can_utt2,0.6011476391737246
T028,voxblink2_samresnet100_ft,VF21B_Can_utt1,VF21B_Can_utt2,0.03773476988544405
T029,voxblink2_samresnet100_ft,VF21B_Can_utt1,VF21C_Can_utt2,0.27744356685033766
T030,voxblink2_samresnet100_ft,VF21B_Can_utt1,VF21D_Can_utt2,0.40125433444744707
T031,voxblink2_samresnet100_ft,VF21B_Can_utt1,VF23B_Can_utt2,0.7219221794556877
T032,voxblink2_samresnet100_ft,VF21B_Can_utt1,VF23C_Can_utt2,0.495697840657649
