trial_id,subject,label1,label2,dissimilarity
T001,voxceleb_CAM++_LM,VF19B_Can_utt1,VF19B_Can_utt2,0.04284167305945158
T002,voxceleb_CAM++_LM,VF19B_Can_utt1,VF19D_Can_utt2,0.7239102386827756
T003,voxceleb_CAM++_LM,VF19B_Can_utt1,VF21A_Can_utt2,0.7322479309472161
T004,voxceleb_CAM++_LM,VF19B_Can_utt1,VF21B_Can_utt2,0.3905696261478541
T005,voxceleb_CAM++_LM,VF19B_Can_utt1,VF21C_Can_utt2,0.4939347320461887
T006,voxceleb_CAM++_LM,VF19B_Can_utt1,VF21D_Can_utt2,0.5339373003546652
T007,voxceleb_CAM++_LM,VF19B_Can_utt1,VF23B_Can_utt2,0.7166027210835948
T008,voxceleb_CAM++_LM,VF19B_Can_utt1,VF23C_Can_utt2,0.7782212345709882
T009,voxceleb_CAM++_LM,VF19B_Can_utt1,VF26A_Can_utt2,0.6671443452208266
T010,voxceleb_CAM++_LM,VF19B_Can_utt1,VF32A_Can_utt2,0.6372320969796472
T011,voxceleb_CAM++_LM,VF19D_Can_utt1,VF19D_Can_utt2,0.1048199708528244
T012,voxceleb_CAM++_LM,VF19D_Can_utt1,VF21A_Can_utt2,0.649787082106634
T013,voxceleb_CAM++_LM,VF19D_Can_utt1,VF21B_Can_utt2,0.46860008467703734
T014,voxceleb_CAM++_LM,VF19D_Can_utt1,VF21C_Can_utt2,0.45813293084530166
T015,voxceleb_CAM++_LM,VF19D_Can_utt1,VF21D_Can_utt2,0.6843489861715342
T016,voxceleb_CAM++_LM,VF19D_Can_utt1,VF23B_Can_utt2,0.49524897845397337
T017,voxceleb_CAM++_LM,VF19D_Can_utt1,VF23C_Can_utt2,0.5561195851510139
T018,voxceleb_CAM++_LM,VF19D_Can_utt1,VF26A_Can_utt2,0.5533768750954511
T019,voxceleb_CAM++_LM,VF19D_Can_utt1,VF32A_Can_utt2,0.4725931991896461
T020,voxceleb_CAM++_LM,VF21A_Can_utt1,VF21A_Can_utt2,0.16419950223894053
T021,voxceleb_CAM++_LM,VF21A_Can_utt1,VF21B_Can_utt2,0.75516626854671
T022,voxceleb_CAM++_LM,VF21A_Can_utt1,VF21C_Can_utt2,0.6168575535451917
T023,voxceleb_CAM++_LM,VF21A_Can_utt1,VF21D_Can_utt2,0.6614861860815304
T024,voxceleb_CAM++_LM,VF21A_Can_utt1,VF23B_Can_utt2,0.6238448389219369
T025,voxceleb_CAM++_LM,VF21A_Can_utt1,VF23C_Can_utt2,0.5960819031046107
T026,voxceleb_CAM++_LM,VF21A_Can_utt1,VF26A_Can_utt2,0.5935476602939209
T027,voxceleb_CAM++_LM,VF21A_Can_utt1,VF32A_Can_utt2,0.659821108203827
T028,voxceleb_CAM++_LM,VF21B_Can_utt1,VF21B_Can_utt2,0.21858466451836284
