trial_id,subject,label1,label2,dissimilarity
T001,voxceleb_ECAPA1024,VF19B_Can_utt1,VF19B_Can_utt2,0.09144408463239567
T002,voxceleb_ECAPA1024,VF19B_Can_utt1,VF19D_Can_utt2,0.6681968188131111
T003,voxceleb_ECAPA1024,VF19B_Can_utt1,VF21A_Can_utt2,0.6131017351159971
T004,voxceleb_ECAPA1024,VF19B_Can_utt1,VF21B_Can_utt2,0.5254146534801774
T005,voxceleb_ECAPA1024,VF19B_Can_utt1,VF21C_Can_utt2,0.5581300153835544
T006,voxceleb_ECAPA1024,VF19B_Can_utt1,VF21D_Can_utt2,0.6626261227553016
T007,voxceleb_ECAPA1024,VF19B_Can_utt1,VF23B_Can_utt2,0.6932228836643755
T008,voxceleb_ECAPA1024,VF19B_Can_utt1,VF23C_Can_utt2,0.9014968483808143
T009,voxceleb_ECAPA1024,VF19B_Can_utt1,VF26A_Can_utt2,0.6587944865687156
T010,voxceleb_ECAPA1024,VF19B_Can_utt1,VF32A_Can_utt2,0.6878686814961459
T011,voxceleb_ECAPA1024,VF19D_Can_utt1,VF19D_Can_utt2,0.1629290919371213
T012,voxceleb_ECAPA1024,VF19D_Can_utt1,VF21A_Can_utt2,0.6279619141224719
T013,voxceleb_ECAPA1024,VF19D_Can_utt1,VF21B_Can_utt2,0.5195236093442082
T014,voxceleb_ECAPA1024,VF19D_Can_utt1,VF21C_Can_utt2,0.4844339234100336
T015,voxceleb_ECAPA1024,VF19D_Can_utt1,VF21D_Can_utt2,0.7253628731021984
T016,voxceleb_ECAPA1024,VF19D_Can_utt1,VF23B_Can_utt2,0.7422034777774045
T017,voxceleb_ECAPA1024,VF19D_Can_utt1,VF23C_Can_utt2,0.5913682113402345
T018,voxceleb_ECAPA1024,VF19D_Can_utt1,VF26A_Can_utt2,0.6966915017790749
T019,voxceleb_ECAPA1024,VF19D_Can_utt1,VF32A_Can_utt2,0.5587450012530271
T020,voxceleb_ECAPA1024,VF21A_Can_utt1,VF21A_Can_utt2,0.17524341109274516
T021,voxceleb_ECAPA1024,VF21A_Can_utt1,VF21B_Can_utt2,0.717809568097223
T022,voxceleb_ECAPA1024,VF21A_Can_utt1,VF21C_Can_utt2,0.6684754051413726
T023,voxceleb_ECAPA1024,VF21A_Can_utt1,VF21D_Can_utt2,0.8023747362337659
T024,voxceleb_ECAPA1024,VF21A_Can_utt1,VF23B_Can_utt2,0.7129060993952703
T025,voxceleb_ECAPA1024,VF21A_Can_utt1,VF23C_Can_utt2,0.8604016703093067
T026,voxceleb_ECAPA1024,VF21A_Can_utt1,VF26A_Can_utt2,0.554444326993768
T027,voxceleb_ECAPA1024,VF21A_Can_utt1,VF32A_Can_utt2,0.8700998542478249
T028,voxceleb_ECAPA1024,VF21B_Can_utt1,VF21B_Can_utt2,0.20139524416982568
T029,voxceleb_ECAPA1024,VF21B_Can_utt1,VF21C_Can_utt2,0.3875381051951757
T030,voxceleb_ECAPA1024,VF21B_Can_utt1,VF21D_Can_utt2,0.4058092812319028
T031,voxceleb_ECAPA1024,VF21B_Can_utt1,VF23B_Can_utt2,0.9490503419992138
T032,voxceleb_ECAPA1024,VF21B_Can_utt1,VF23C_Can_utt2,0.7752701466471446
T033,voxceleb_ECAPA1024,VF21B_Can_utt1,VF26A_Can_utt2,0.5315736994105567
T034,voxceleb_ECAPA1024,VF21B_Can_utt1,VF32A_Can_utt2,0.5181422752779452
T035,voxceleb_ECAPA1024,VF21C_Can_utt1,VF21C_Can_utt2,0.31152106598202783
T036,voxceleb_ECAPA1024,VF21C_Can_utt1,VF21D_Can_utt2,0.5539309247033029
T037,voxceleb_ECAPA1024,VF21C_Can_utt1,VF23B_Can_utt2,0.7054361257615887
T038,voxceleb_ECAPA1024,VF21C_Can_utt1,VF23C_Can_utt2,0.8204508319757999
T039,voxceleb_ECAPA1024,VF21C_Can_utt1,VF26A_Can_utt2,0.7821735507939205
T040,voxceleb_ECAPA1024,VF21C_Can_utt1,VF32A_Can_utt2,0.6790040470646364
T041,voxceleb_ECAPA1024,VF21D_Can_utt1,VF21D_Can_utt2,0.37532009481786116
T042,voxceleb_ECAPA1024,VF21D_Can_utt1,VF23B_Can_utt2,0.8560685001338262
T043,voxceleb_ECAPA1024,VF21D_Can_utt1,VF23C_Can_utt2,0.8609565243241322
T044,voxceleb_ECAPA1024,VF21D_Can_utt1,VF26A_Can_utt2,0.5307565594242629
T045,voxceleb_ECAPA1024,VF21D_Can_utt1,VF32A_Can_utt2,0.6425574623164396
T046,voxceleb_ECAPA1024,VF23B_Can_utt1,VF23B_Can_utt2,0.36993721310411404
T047,voxceleb_ECAPA1024,VF23B_Can_utt1,VF23C_Can_utt2,0.8373733401582035
T048,voxceleb_ECAPA1024,VF23B_Can_utt1,VF26A_Can_utt2,0.8332624539267119
T049,voxceleb_ECAPA1024,VF23B_Can_utt1,VF32A_Can_utt2,0.6588695389481851
T050,voxceleb_ECAPA1024,VF23C_Can_utt1,VF23C_Can_utt2,0.22441964441974643
T051,voxceleb_ECAPA1024,VF23C_Can_utt1,VF26A_Can_utt2,0.9036860173006827
T052,voxceleb_ECAPA1024,VF23C_Can_utt1,VF32A_Can_utt2,0.7567796384588723
T053,voxceleb_ECAPA1024,VF26A_Can_utt1,VF26A_Can_utt2,0.3185093035956605
T054,voxceleb_ECAPA1024,VF26A_Can_utt1,VF32A_Can_utt2,0.8658146070339852
T055,voxceleb_ECAPA1024,VF32A_Can_utt1,VF32A_Can_utt2,0.36044054576511403
T056,voxceleb_ECAPA1024,VF19B_Can_utt1,VF19B_Eng_utt2,0.22322942581453925
T057,voxceleb_ECAPA1024,VF19B_Can_utt1,VF19D_Eng_utt2,0.6251535368726384
T058,voxceleb_ECAPA1024,VF19B_Can_utt1,VF21A_Eng_utt2,0.5679610911138331
T059,voxceleb_ECAPA1024,VF19B_Can_utt1,VF21B_Eng_utt2,0.5799632887844393
T060,voxceleb_ECAPA1024,VF19B_Can_utt1,VF21C_Eng_utt2,0.6512477837977266
T061,voxceleb_ECAPA1024,VF19B_Can_utt1,VF21D_Eng_utt2,0.6310889277601721
T062,voxceleb_ECAPA1024,VF19B_Can_utt1,VF23B_Eng_utt2,0.6835921979619428
T063,voxceleb_ECAPA1024,VF19B_Can_utt1,VF23C_Eng_utt2,0.8341012214691794
T064,voxceleb_ECAPA1024,VF19B_Can_utt1,VF26A_Eng_utt2,0.6552544315836342
T065,voxceleb_ECAPA1024,VF19B_Can_utt1,VF32A_Eng_utt2,0.5655449529344554
T066,voxceleb_ECAPA1024,VF19D_Can_utt1,VF19D_Eng_utt2,0.28112081759830004
T067,voxceleb_ECAPA1024,VF19D_Can_utt1,VF21A_Eng_utt2,0.5619254964792626
T068,voxceleb_ECAPA1024,VF19D_Can_utt1,VF21B_Eng_utt2,0.33844902834328566
T069,voxceleb_ECAPA1024,VF19D_Can_utt1,VF21C_Eng_utt2,0.5344170615140271
T070,voxceleb_ECAPA1024,VF19D_Can_utt1,VF21D_Eng_utt2,0.8195034987298908
T071,voxceleb_ECAPA1024,VF19D_Can_utt1,VF23B_Eng_utt2,0.6158373480621604
T072,voxceleb_ECAPA1024,VF19D_Can_utt1,VF23C_Eng_utt2,0.6016873283986817
T073,voxceleb_ECAPA1024,VF19D_Can_utt1,VF26A_Eng_utt2,0.6916787119593426
T074,voxceleb_ECAPA1024,VF19D_Can_utt1,VF32A_Eng_utt2,0.47272438984703563
T075,voxceleb_ECAPA1024,VF21A_Can_utt1,VF21A_Eng_utt2,0.39857242933635945
T076,voxceleb_ECAPA1024,VF21A_Can_utt1,VF21B_Eng_utt2,0.6534697149937851
T077,voxceleb_ECAPA1024,VF21A_Can_utt1,VF21C_Eng_utt2,0.7346389594543885
T078,voxceleb_ECAPA1024,VF21A_Can_utt1,VF21D_Eng_utt2,0.8958433070040726
T079,voxceleb_ECAPA1024,VF21A_Can_utt1,VF23B_Eng_utt2,0.8536119189047251
T080,voxceleb_ECAPA1024,VF21A_Can_utt1,VF23C_Eng_utt2,0.6816628086098999
T081,voxceleb_ECAPA1024,VF21A_Can_utt1,VF26A_Eng_utt2,0.7090794934821978
T082,voxceleb_ECAPA1024,VF21A_Can_utt1,VF32A_Eng_utt2,0.6613697420804108
T083,voxceleb_ECAPA1024,VF21B_Can_utt1,VF21B_Eng_utt2,0.22264654287116975
T084,voxceleb_ECAPA1024,VF21B_Can_utt1,VF21C_Eng_utt2,0.2994184375034277
T085,voxceleb_ECAPA1024,VF21B_Can_utt1,VF21D_Eng_utt2,0.514480236160163
T086,voxceleb_ECAPA1024,VF21B_Can_utt1,VF23B_Eng_utt2,0.8098232700732191
T087,voxceleb_ECAPA1024,VF21B_Can_utt1,VF23C_Eng_utt2,0.9088010953525374
T088,voxceleb_ECAPA1024,VF21B_Can_utt1,VF26A_Eng_utt2,0.6277244782261466
