trial_id,subject,label1,label2,dissimilarity
T001,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF19B_Can_utt2,0.09512107298066319
T002,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF19D_Can_utt2,0.5775272246059755
T003,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF21A_Can_utt2,0.7373956776190916
T004,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF21B_Can_utt2,0.5154834975067271
T005,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF21C_Can_utt2,0.36619780708851546
T006,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF21D_Can_utt2,0.4642412792062858
T007,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF23B_Can_utt2,0.6822907831222279
T008,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF23C_Can_utt2,0.8081463650302508
T009,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF26A_Can_utt2,0.665035735573288
T010,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF32A_Can_utt2,0.6625135420996714
T011,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF19D_Can_utt2,0.043761292244513916
T012,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF21A_Can_utt2,0.647683346165817
T013,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF21B_Can_utt2,0.5066615023312556
T014,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF21C_Can_utt2,0.5773569673461438
T015,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF21D_Can_utt2,0.5513412536323108
T016,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF23B_Can_utt2,0.6439797654706246
T017,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF23C_Can_utt2,0.5867951643905122
T018,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF26A_Can_utt2,0.6043357062686165
T019,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF32A_Can_utt2,0.39717164676734396
T020,voxceleb_ecapa512_dino,VF21A_Can_utt1,VF21A_Can_utt2,0.16913178250605643
T021,voxceleb_ecapa512_dino,VF21A_Can_utt1,VF21B_Can_utt2,0.6106511586972064
T022,voxceleb_ecapa512_dino,VF21A_Can_utt1,VF21C_Can_utt2,0.6612151990597027
T023,voxceleb_ecapa512_dino,VF21A_Can_utt1,VF21D_Can_utt2,0.5376375258324192
T024,voxceleb_ecapa512_dino,VF21A_Can_utt1,VF23B_Can_utt2,0.6411822283975864
T025,voxceleb_ecapa512_dino,VF21A_Can_utt1,VF23C_Can_utt2,0.8184208649260895
T026,voxceleb_ecapa512_dino,VF21A_Can_utt1,VF26A_Can_utt2,0.40340047424330683
T027,voxceleb_ecapa512_dino,VF21A_Can_utt1,VF32A_Can_utt2,0.6453030809234069
T028,voxceleb_ecapa512_dino,VF21B_Can_utt1,VF21B_Can_utt2,0.1297203408238945
T029,voxceleb_ecapa512_dino,VF21B_Can_utt1,VF21C_Can_utt2,0.2748347688173829
T030,voxceleb_ecapa512_dino,VF21B_Can_utt1,VF21D_Can_utt2,0.22070363665563986
T031,voxceleb_ecapa512_dino,VF21B_Can_utt1,VF23B_Can_utt2,0.8214268963704013
T032,voxceleb_ecapa512_dino,VF21B_Can_utt1,VF23C_Can_utt2,0.6274967193377315
T033,voxceleb_ecapa512_dino,VF21B_Can_utt1,VF26A_Can_utt2,0.4376343158157924
T034,voxceleb_ecapa512_dino,VF21B_Can_utt1,VF32A_Can_utt2,0.5300687615892342
T035,voxceleb_ecapa512_dino,VF21C_Can_utt1,VF21C_Can_utt2,0.15374748209581635
T036,voxceleb_ecapa512_dino,VF21C_Can_utt1,VF21D_Can_utt2,0.38508742543472596
T037,voxceleb_ecapa512_dino,VF21C_Can_utt1,VF23B_Can_utt2,0.6431308449789955
T038,voxceleb_ecapa512_dino,VF21C_Can_utt1,VF23C_Can_utt2,0.7842674001478832
T039,voxceleb_ecapa512_dino,VF21C_Can_utt1,VF26A_Can_utt2,0.7157740166493199
T040,voxceleb_ecapa512_dino,VF21C_Can_utt1,VF32A_Can_utt2,0.6778182543181422
T041,voxceleb_ecapa512_dino,VF21D_Can_utt1,VF21D_Can_utt2,0.25722952109231156
T042,voxceleb_ecapa512_dino,VF21D_Can_utt1,VF23B_Can_utt2,0.578639275468411
T043,voxceleb_ecapa512_dino,VF21D_Can_utt1,VF23C_Can_utt2,0.852615832438952
T044,voxceleb_ecapa512_dino,VF21D_Can_utt1,VF26A_Can_utt2,0.3761951435329868
T045,voxceleb_ecapa512_dino,VF21D_Can_utt1,VF32A_Can_utt2,0.663765094724052
T046,voxceleb_ecapa512_dino,VF23B_Can_utt1,VF23B_Can_utt2,0.24037461854513054
T047,voxceleb_ecapa512_dino,VF23B_Can_utt1,VF23C_Can_utt2,0.7363609300232047
T048,voxceleb_ecapa512_dino,VF23B_Can_utt1,VF26A_Can_utt2,0.6897650161671097
T049,voxceleb_ecapa512_dino,VF23B_Can_utt1,VF32A_Can_utt2,0.6369157877160904
T050,voxceleb_ecapa512_dino,VF23C_Can_utt1,VF23C_Can_utt2,0.1812468199982924
T051,voxceleb_ecapa512_dino,VF23C_Can_utt1,VF26A_Can_utt2,0.7558481068661548
T052,voxceleb_ecapa512_dino,VF23C_Can_utt1,VF32A_Can_utt2,0.6030965488580454
T053,voxceleb_ecapa512_dino,VF26A_Can_utt1,VF26A_Can_utt2,0.17296778776118227
T054,voxceleb_ecapa512_dino,VF26A_Can_utt1,VF32A_Can_utt2,0.6221698104861789
T055,voxceleb_ecapa512_dino,VF32A_Can_utt1,VF32A_Can_utt2,0.26501970065558644
T056,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF19B_Eng_utt2,0.3245828077878946
T057,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF19D_Eng_utt2,0.6526659188086198
T058,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF21A_Eng_utt2,0.6209359913079827
T059,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF21B_Eng_utt2,0.4618235452343663
T060,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF21C_Eng_utt2,0.6014622813694325
T061,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF21D_Eng_utt2,0.4896196807686488
T062,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF23B_Eng_utt2,0.7458235535248029
T063,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF23C_Eng_utt2,0.8128341115475218
T064,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF26A_Eng_utt2,0.5557679828290902
T065,voxceleb_ecapa512_dino,VF19B_Can_utt1,VF32A_Eng_utt2,0.4629149306669267
T066,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF19D_Eng_utt2,0.3090991434614059
T067,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF21A_Eng_utt2,0.6623104264019267
T068,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF21B_Eng_utt2,0.44280985342659673
T069,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF21C_Eng_utt2,0.6029761555415326
T070,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF21D_Eng_utt2,0.6903807731833088
T071,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF23B_Eng_utt2,0.643055907519977
T072,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF23C_Eng_utt2,0.5552493654656503
T073,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF26A_Eng_utt2,0.5607486749582155
T074,voxceleb_ecapa512_dino,VF19D_Can_utt1,VF32A_Eng_utt2,0.37603742303100485
T075,voxceleb_ecapa512_dino,VF21A_Can_utt1,VF21A_Eng_utt2,0.47945920470751213
T076,voxceleb_ecapa512_dino,VF21A_Can_utt1,VF21B_Eng_utt2,0.6126520252500413
T077,voxceleb_ecapa512_dino,VF21A_Can_utt1,VF21C_Eng_utt2,0.6860677847331508
T078,voxceleb_ecapa512_dino,VF21A_Can_utt1,VF21D_Eng_utt2,0.6088078913228904
