trial_id,subject,label1,label2,dissimilarity
T001,voxceleb_resnet34,VF19B_Can_utt1,VF19B_Can_utt2,0.2352769674013223
T002,voxceleb_resnet34,VF19B_Can_utt1,VF19D_Can_utt2,0.5867306707200035
T003,voxceleb_resnet34,VF19B_Can_utt1,VF21A_Can_utt2,0.5425852513609652
T004,voxceleb_resnet34,VF19B_Can_utt1,VF21B_Can_utt2,0.4585333698613854
T005,voxceleb_resnet34,VF19B_Can_utt1,VF21C_Can_utt2,0.4582276579351747
T006,voxceleb_resnet34,VF19B_Can_utt1,VF21D_Can_utt2,0.5569115567984538
T007,voxceleb_resnet34,VF19B_Can_utt1,VF23B_Can_utt2,0.6883982435356116
T008,voxceleb_resnet34,VF19B_Can_utt1,VF23C_Can_utt2,0.681766674511226
T009,voxceleb_resnet34,VF19B_Can_utt1,VF26A_Can_utt2,0.5484846102567449
T010,voxceleb_resnet34,VF19B_Can_utt1,VF32A_Can_utt2,0.6059093456762601
T011,voxceleb_resnet34,VF19D_Can_utt1,VF19D_Can_utt2,0.26952548412262567
T012,voxceleb_resnet34,VF19D_Can_utt1,VF21A_Can_utt2,0.6435305721947987
T013,voxceleb_resnet34,VF19D_Can_utt1,VF21B_Can_utt2,0.4269919419503033
T014,voxceleb_resnet34,VF19D_Can_utt1,VF21C_Can_utt2,0.48616108699185734
T015,voxceleb_resnet34,VF19D_Can_utt1,VF21D_Can_utt2,0.5947459449264848
T016,voxceleb_resnet34,VF19D_Can_utt1,VF23B_Can_utt2,0.7646397404951476
T017,voxceleb_resnet34,VF19D_Can_utt1,VF23C_Can_utt2,0.5086111404429262
T018,voxceleb_resnet34,VF19D_Can_utt1,VF26A_Can_utt2,0.6084316042819522
T019,voxceleb_resnet34,VF19D_Can_utt1,VF32A_Can_utt2,0.4848160690511263
T020,voxceleb_resnet34,VF21A_Can_utt1,VF21A_Can_utt2,0.28682618939167204
T021,voxceleb_resnet34,VF21A_Can_utt1,VF21B_Can_utt2,0.7047921370472617
T022,voxceleb_resnet34,VF21A_Can_utt1,VF21C_Can_utt2,0.6510072951856559
T023,voxceleb_resnet34,VF21A_Can_utt1,VF21D_Can_utt2,0.7120261978163279
T024,voxceleb_resnet34,VF21A_Can_utt1,VF23B_Can_utt2,0.7574504675254491
T025,voxceleb_resnet34,VF21A_Can_utt1,VF23C_Can_utt2,0.7663886996858665
T026,voxceleb_resnet34,VF21A_Can_utt1,VF26A_Can_utt2,0.5660421752652295
T027,voxceleb_resnet34,VF21A_Can_utt1,VF32A_Can_utt2,0.8842510706837216
T028,voxceleb_resnet34,VF21B_Can_utt1,VF21B_Can_utt2,0.15682904098496442
T029,voxceleb_resnet34,VF21B_Can_utt1,VF21C_Can_utt2,0.33625566234386584
T030,voxceleb_resnet34,VF21B_Can_utt1,VF21D_Can_utt2,0.40374008269588735
T031,voxceleb_resnet34,VF21B_Can_utt1,VF23B_Can_utt2,0.9036145241448631
T032,voxceleb_resnet34,VF21B_Can_utt1,VF23C_Can_utt2,0.5086470915800496
T033,voxceleb_resnet34,VF21B_Can_utt1,VF26A_Can_utt2,0.5858317332160923
T034,voxceleb_resnet34,VF21B_Can_utt1,VF32A_Can_utt2,0.4831563673074867
T035,voxceleb_resnet34,VF21C_Can_utt1,VF21C_Can_utt2,0.2138224104817481
T036,voxceleb_resnet34,VF21C_Can_utt1,VF21D_Can_utt2,0.5930591048465919
T037,voxceleb_resnet34,VF21C_Can_utt1,VF23B_Can_utt2,0.8465346641261832
T038,voxceleb_resnet34,VF21C_Can_utt1,VF23C_Can_utt2,0.7284047325567866
T039,voxceleb_resnet34,VF21C_Can_utt1,VF26A_Can_utt2,0.6860119311325107
T040,voxceleb_resnet34,VF21C_Can_utt1,VF32A_Can_utt2,0.7270190230192585
T041,voxceleb_resnet34,VF21D_Can_utt1,VF21D_Can_utt2,0.2734994528268745
T042,voxceleb_resnet34,VF21D_Can_utt1,VF23B_Can_utt2,0.7427877485269498
T043,voxceleb_resnet34,VF21D_Can_utt1,VF23C_Can_utt2,0.6916575322674977
T044,voxceleb_resnet34,VF21D_Can_utt1,VF26A_Can_utt2,0.5665944229096426
T045,voxceleb_resnet34,VF21D_Can_utt1,VF32A_Can_utt2,0.6560464515416372
T046,voxceleb_resnet34,VF23B_Can_utt1,VF23B_Can_utt2,0.25928335512301
T047,voxceleb_resnet34,VF23B_Can_utt1,VF23C_Can_utt2,0.8191376417441188
T048,voxceleb_resnet34,VF23B_Can_utt1,VF26A_Can_utt2,0.6725899240543363
T049,voxceleb_resnet34,VF23B_Can_utt1,VF32A_Can_utt2,0.7514755555651708
T050,voxceleb_resnet34,VF23C_Can_utt1,VF23C_Can_utt2,0.2322980498162499
T051,voxceleb_resnet34,VF23C_Can_utt1,VF26A_Can_utt2,0.7874326898472174
T052,voxceleb_resnet34,VF23C_Can_utt1,VF32A_Can_utt2,0.5419335495088995
T053,voxceleb_resnet34,VF26A_Can_utt1,VF26A_Can_utt2,0.18113340954762303
T054,voxceleb_resnet34,VF26A_Can_utt1,VF32A_Can_utt2,0.6730919355522735
T055,voxceleb_resnet34,VF32A_Can_utt1,VF32A_Can_utt2,0.1908289540023017
T056,voxceleb_resnet34,VF19B_Can_utt1,VF19B_Eng_utt2,0.40986240227216275
T057,voxceleb_resnet34,VF19B_Can_utt1,VF19D_Eng_utt2,0.6381296137756612
T058,voxceleb_resnet34,VF19B_Can_utt1,VF21A_Eng_utt2,0.5606352992252911
T059,voxceleb_resnet34,VF19B_Can_utt1,VF21B_Eng_utt2,0.5696703926573652
T060,voxceleb_resnet34,VF19B_Can_utt1,VF21C_Eng_utt2,0.5709246101154855
T061,voxceleb_resnet34,VF19B_Can_utt1,VF21D_Eng_utt2,0.623318254323498
T062,voxceleb_resnet34,VF19B_Can_utt1,VF23B_Eng_utt2,0.710256725797591
T063,voxceleb_resnet34,VF19B_Can_utt1,VF23C_Eng_utt2,0.7782698465945889
T064,voxceleb_resnet34,VF19B_Can_utt1,VF26A_Eng_utt2,0.5615336004258905
T065,voxceleb_resnet34,VF19B_Can_utt1,VF32A_Eng_utt2,0.699915906154297
T066,voxceleb_resnet34,VF19D_Can_utt1,VF19D_Eng_utt2,0.2618010164372735
T067,voxceleb_resnet34,VF19D_Can_utt1,VF21A_Eng_utt2,0.6278749018780524
T068,voxceleb_resnet34,VF19D_Can_utt1,VF21B_Eng_utt2,0.4739669066919414
T069,voxceleb_resnet34,VF19D_Can_utt1,VF21C_Eng_utt2,0.6355786419830188
T070,voxceleb_resnet34,VF19D_Can_utt1,VF21D_Eng_utt2,0.7066782673244473
T071,voxceleb_resnet34,VF19D_Can_utt1,VF23B_Eng_utt2,0.6828629296721628
T072,voxceleb_resnet34,VF19D_Can_utt1,VF23C_Eng_utt2,0.5521191111440857
T073,voxceleb_resnet34,VF19D_Can_utt1,VF26A_Eng_utt2,0.6118471054769139
T074,voxceleb_resnet34,VF19D_Can_utt1,VF32A_Eng_utt2,0.40851168941679017
T075,voxceleb_resnet34,VF21A_Can_utt1,VF21A_Eng_utt2,0.4561424283516903
T076,voxceleb_resnet34,VF21A_Can_utt1,VF21B_Eng_utt2,0.7058133322787666
T077,voxceleb_resnet34,VF21A_Can_utt1,VF21C_Eng_utt2,0.6644351721618827
T078,voxceleb_resnet34,VF21A_Can_utt1,VF21D_Eng_utt2,0.831299110181667
T079,voxceleb_resnet34,VF21A_Can_utt1,VF23B_Eng_utt2,0.8147716823614589
T080,voxceleb_resnet34,VF21A_Can_utt1,VF23C_Eng_utt2,0.7806685669122723
T081,voxceleb_resnet34,VF21A_Can_utt1,VF26A_Eng_utt2,0.7028929386908078
T082,voxceleb_resnet34,VF21A_Can_utt1,VF32A_Eng_utt2,0.7131949279244921
T083,voxceleb_resnet34,VF21B_Can_utt1,VF21B_Eng_utt2,0.16748553070130073
T084,voxceleb_resnet34,VF21B_Can_utt1,VF21C_Eng_utt2,0.2420366720051454
T085,voxceleb_resnet34,VF21B_Can_utt1,VF21D_Eng_utt2,0.5062758118426927
T086,voxceleb_resnet34,VF21B_Can_utt1,VF23B_Eng_utt2,0.8460924064803547
T087,voxceleb_resnet34,VF21B_Can_utt1,VF23C_Eng_utt2,0.8279149545368442
T088,voxceleb_resnet34,VF21B_Can_utt1,VF26A_Eng_utt2,0.5311235198033976
T089,voxceleb_resnet34,VF21B_Can_utt1,VF32A_Eng_utt2,0.49606047121250874
T090,voxceleb_resnet34,VF21C_Can_utt1,VF21C_Eng_utt2,0.3616193168450389
T091,voxceleb_resnet34,VF21C_Can_utt1,VF21D_Eng_utt2,0.7713306328726824
T092,voxceleb_resnet34,VF21C_Can_utt1,VF23B_Eng_utt2,0.7817902503443116
T093,voxceleb_resnet34,VF21C_Can_utt1,VF23C_Eng_utt2,0.7620921490638498
T094,voxceleb_resnet34,VF21C_Can_utt1,VF26A_Eng_utt2,0.7727747391466618
