trial_id,subject,label1,label2,dissimilarity
T001,cnceleb_resnet34_LM,VF19B_Can_utt1,VF19B_Can_utt2,0.16718225218085492
T002,cnceleb_resnet34_LM,VF19B_Can_utt1,VF19D_Can_utt2,0.758274878129205
T003,cnceleb_resnet34_LM,VF19B_Can_utt1,VF21A_Can_utt2,0.7522042955682255
T004,cnceleb_resnet34_LM,VF19B_Can_utt1,VF21B_Can_utt2,0.5691972558712721
T005,cnceleb_resnet34_LM,VF19B_Can_utt1,VF21C_Can_utt2,0.5873458993545948
T006,cnceleb_resnet34_LM,VF19B_Can_utt1,VF21D_Can_utt2,0.8186101252117173
T007,cnceleb_resnet34_LM,VF19B_Can_utt1,VF23B_Can_utt2,0.7647465509484088
T008,cnceleb_resnet34_LM,VF19B_Can_utt1,VF23C_Can_utt2,0.7010152722350915
T009,cnceleb_resnet34_LM,VF19B_Can_utt1,VF26A_Can_utt2,0.6987460075736782
T010,cnceleb_resnet34_LM,VF19B_Can_utt1,VF32A_Can_utt2,0.837234381309125
T011,cnceleb_resnet34_LM,VF19D_Can_utt1,VF19D_Can_utt2,0.11778198123253997
T012,cnceleb_resnet34_LM,VF19D_Can_utt1,VF21A_Can_utt2,0.47143587411498716
T013,cnceleb_resnet34_LM,VF19D_Can_utt1,VF21B_Can_utt2,0.6694238024516859
T014,cnceleb_resnet34_LM,VF19D_Can_utt1,VF21C_Can_utt2,0.6162204954842638
T015,cnceleb_resnet34_LM,VF19D_Can_utt1,VF21D_Can_utt2,0.8997399371378911
T016,cnceleb_resnet34_LM,VF19D_Can_utt1,VF23B_Can_utt2,0.6819800099985924
T017,cnceleb_resnet34_LM,VF19D_Can_utt1,VF23C_Can_utt2,0.48175422664314044
T018,cnceleb_resnet34_LM,VF19D_Can_utt1,VF26A_Can_utt2,0.7950242204779405
T019,cnceleb_resnet34_LM,VF19D_Can_utt1,VF32A_Can_utt2,0.396713698361615
T020,cnceleb_resnet34_LM,VF21A_Can_utt1,VF21A_Can_utt2,0.12547300953347407
T021,cnceleb_resnet34_LM,VF21A_Can_utt1,VF21B_Can_utt2,0.6634334880181969
T022,cnceleb_resnet34_LM,VF21A_Can_utt1,VF21C_Can_utt2,0.6056116685147532
T023,cnceleb_resnet34_LM,VF21A_Can_utt1,VF21D_Can_utt2,0.8676463307303794
T024,cnceleb_resnet34_LM,VF21A_Can_utt1,VF23B_Can_utt2,0.6742254026408827
T025,cnceleb_resnet34_LM,VF21A_Can_utt1,VF23C_Can_utt2,0.6499368388175248
T026,cnceleb_resnet34_LM,VF21A_Can_utt1,VF26A_Can_utt2,0.6787033401901557
T027,cnceleb_resnet34_LM,VF21A_Can_utt1,VF32A_Can_utt2,0.7287584132601392
T028,cnceleb_resnet34_LM,VF21B_Can_utt1,VF21B_Can_utt2,0.0872002822481886
T029,cnceleb_resnet34_LM,VF21B_Can_utt1,VF21C_Can_utt2,0.5755658328842623
T030,cnceleb_resnet34_LM,VF21B_Can_utt1,VF21D_Can_utt2,0.5430904380828396
T031,cnceleb_resnet34_LM,VF21B_Can_utt1,VF23B_Can_utt2,0.9254036398094825
T032,cnceleb_resnet34_LM,VF21B_Can_utt1,VF23C_Can_utt2,0.5951715626109007
T033,cnceleb_resnet34_LM,VF21B_Can_utt1,VF26A_Can_utt2,0.577135209895153
T034,cnceleb_resnet34_LM,VF21B_Can_utt1,VF32A_Can_utt2,0.5987671810227324
T035,cnceleb_resnet34_LM,VF21C_Can_utt1,VF21C_Can_utt2,0.17539206624544018
T036,cnceleb_resnet34_LM,VF21C_Can_utt1,VF21D_Can_utt2,0.7184231903521734
T037,cnceleb_resnet34_LM,VF21C_Can_utt1,VF23B_Can_utt2,0.672375255542222
T038,cnceleb_resnet34_LM,VF21C_Can_utt1,VF23C_Can_utt2,0.647495036965644
T039,cnceleb_resnet34_LM,VF21C_Can_utt1,VF26A_Can_utt2,0.828420207903861
T040,cnceleb_resnet34_LM,VF21C_Can_utt1,VF32A_Can_utt2,0.7391141413636295
T041,cnceleb_resnet34_LM,VF21D_Can_utt1,VF21D_Can_utt2,0.5785768762314341
T042,cnceleb_resnet34_LM,VF21D_Can_utt1,VF23B_Can_utt2,0.7462477391618947
T043,cnceleb_resnet34_LM,VF21D_Can_utt1,VF23C_Can_utt2,0.7652957621053351
T044,cnceleb_resnet34_LM,VF21D_Can_utt1,VF26A_Can_utt2,0.4449403641570771
T045,cnceleb_resnet34_LM,VF21D_Can_utt1,VF32A_Can_utt2,0.6793391134903777
T046,cnceleb_resnet34_LM,VF23B_Can_utt1,VF23B_Can_utt2,0.1632713631501727
T047,cnceleb_resnet34_LM,VF23B_Can_utt1,VF23C_Can_utt2,0.7265471502423189
T048,cnceleb_resnet34_LM,VF23B_Can_utt1,VF26A_Can_utt2,0.7350736422297
