trial_id,subject,label1,label2,dissimilarity
T001,voxblink2_samresnet34,VF19B_Can_utt1,VF19B_Can_utt2,0.160057749964287
T002,voxblink2_samresnet34,VF19B_Can_utt1,VF19D_Can_utt2,0.7055246759904084
T003,voxblink2_samresnet34,VF19B_Can_utt1,VF21A_Can_utt2,0.8163512681823029
T004,voxblink2_samresnet34,VF19B_Can_utt1,VF21B_Can_utt2,0.4646363454972113
T005,voxblink2_samresnet34,VF19B_Can_utt1,VF21C_Can_utt2,0.5793930173556583
T006,voxblink2_samresnet34,VF19B_Can_utt1,VF21D_Can_utt2,0.641601875152203
T007,voxblink2_samresnet34,VF19B_Can_utt1,VF23B_Can_utt2,0.8702854973712035
T008,voxblink2_samresnet34,VF19B_Can_utt1,VF23C_Can_utt2,0.7484523809242665
T009,voxblink2_samresnet34,VF19B_Can_utt1,VF26A_Can_utt2,0.6866191513327151
T010,voxblink2_samresnet34,VF19B_Can_utt1,VF32A_Can_utt2,0.7488846027121863
T011,voxblink2_samresnet34,VF19D_Can_utt1,VF19D_Can_utt2,0.1721977458167433
T012,voxblink2_samresnet34,VF19D_Can_utt1,VF21A_Can_utt2,0.8485383706183665
T013,voxblink2_samresnet34,VF19D_Can_utt1,VF21B_Can_utt2,0.5559193948491581
T014,voxblink2_samresnet34,VF19D_Can_utt1,VF21C_Can_utt2,0.7255517407863781
T015,voxblink2_samresnet34,VF19D_Can_utt1,VF21D_Can_utt2,0.7964767762817775
T016,voxblink2_samresnet34,VF19D_Can_utt1,VF23B_Can_utt2,0.9147207745062453
T017,voxblink2_samresnet34,VF19D_Can_utt1,VF23C_Can_utt2,0.617394935975988
T018,voxblink2_samresnet34,VF19D_Can_utt1,VF26A_Can_utt2,0.7915495091737486
T019,voxblink2_samresnet34,VF19D_Can_utt1,VF32A_Can_utt2,0.5021858558666588
T020,voxblink2_samresnet34,VF21A_Can_utt1,VF21A_Can_utt2,0.2205642387451528
T021,voxblink2_samresnet34,VF21A_Can_utt1,VF21B_Can_utt2,0.6381942095730968
T022,voxblink2_samresnet34,VF21A_Can_utt1,VF21C_Can_utt2,0.8029713877759048
T023,voxblink2_samresnet34,VF21A_Can_utt1,VF21D_Can_utt2,0.7500623449589807
T024,voxblink2_samresnet34,VF21A_Can_utt1,VF23B_Can_utt2,0.7718777839960509
T025,voxblink2_samresnet34,VF21A_Can_utt1,VF23C_Can_utt2,0.6323919120595805
T026,voxblink2_samresnet34,VF21A_Can_utt1,VF26A_Can_utt2,0.5940318794588682
T027,voxblink2_samresnet34,VF21A_Can_utt1,VF32A_Can_utt2,0.8243683151396559
T028,voxblink2_samresnet34,VF21B_Can_utt1,VF21B_Can_utt2,0.10759657089098468
T029,voxblink2_samresnet34,VF21B_Can_utt1,VF21C_Can_utt2,0.5163396981987196
T030,voxblink2_samresnet34,VF21B_Can_utt1,VF21D_Can_utt2,0.547819857425744
T031,voxblink2_samresnet34,VF21B_Can_utt1,VF23B_Can_utt2,0.9320270645066189
T032,voxblink2_samresnet34,VF21B_Can_utt1,VF23C_Can_utt2,0.6814202350266396
T033,voxblink2_samresnet34,VF21B_Can_utt1,VF26A_Can_utt2,0.5327477182557747
T034,voxblink2_samresnet34,VF21B_Can_utt1,VF32A_Can_utt2,0.6959105751434989
T035,voxblink2_samresnet34,VF21C_Can_utt1,VF21C_Can_utt2,0.3041563478321008
T036,voxblink2_samresnet34,VF21C_Can_utt1,VF21D_Can_utt2,0.6121139462091993
T037,voxblink2_samresnet34,VF21C_Can_utt1,VF23B_Can_utt2,0.8042339608248965
T038,voxblink2_samresnet34,VF21C_Can_utt1,VF23C_Can_utt2,0.7208799703019004
T039,voxblink2_samresnet34,VF21C_Can_utt1,VF26A_Can_utt2,0.5973994104008193
T040,voxblink2_samresnet34,VF21C_Can_utt1,VF32A_Can_utt2,0.6543694555429036
T041,voxblink2_samresnet34,VF21D_Can_utt1,VF21D_Can_utt2,0.28564117422127494
T042,voxblink2_samresnet34,VF21D_Can_utt1,VF23B_Can_utt2,0.8493831043087836
T043,voxblink2_samresnet34,VF21D_Can_utt1,VF23C_Can_utt2,0.8718151836212946
T044,voxblink2_samresnet34,VF21D_Can_utt1,VF26A_Can_utt2,0.44681615810534797
T045,voxblink2_samresnet34,VF21D_Can_utt1,VF32A_Can_utt2,0.6393508973049802
T046,voxblink2_samresnet34,VF23B_Can_utt1,VF23B_Can_utt2,0.2421497291189641
T047,voxblink2_samresnet34,VF23B_Can_utt1,VF23C_Can_utt2,0.8273224065549682
T048,voxblink2_samresnet34,VF23B_Can_utt1,VF26A_Can_utt2,0.7868851256411475
T049,voxblink2_samresnet34,VF23B_Can_utt1,VF32A_Can_utt2,0.8259623989298979
T050,voxblink2_samresnet34,VF23C_Can_utt1,VF23C_Can_utt2,0.17246946309729577
T051,voxblink2_samresnet34,VF23C_Can_utt1,VF26A_Can_utt2,0.7373192402291067
T052,voxblink2_samresnet34,VF23C_Can_utt1,VF32A_Can_utt2,0.6443778712427182
