trial_id,subject,label1,label2,dissimilarity
T001,voxblink2_samresnet34_ft,VF19B_Can_utt1,VF19B_Can_utt2,0.1759071503985022
T002,voxblink2_samresnet34_ft,VF19B_Can_utt1,VF19D_Can_utt2,0.6222295060223371
T003,voxblink2_samresnet34_ft,VF19B_Can_utt1,VF21A_Can_utt2,0.802352324281415
T004,voxblink2_samresnet34_ft,VF19B_Can_utt1,VF21B_Can_utt2,0.5022234214469208
T005,voxblink2_samresnet34_ft,VF19B_Can_utt1,VF21C_Can_utt2,0.5822722060532848
T006,voxblink2_samresnet34_ft,VF19B_Can_utt1,VF21D_Can_utt2,0.608521190604816
T007,voxblink2_samresnet34_ft,VF19B_Can_utt1,VF23B_Can_utt2,0.7380348338302029
T008,voxblink2_samresnet34_ft,VF19B_Can_utt1,VF23C_Can_utt2,0.7543304665910059
T009,voxblink2_samresnet34_ft,VF19B_Can_utt1,VF26A_Can_utt2,0.6889416755402585
T010,voxblink2_samresnet34_ft,VF19B_Can_utt1,VF32A_Can_utt2,0.7266602864986772
T011,voxblink2_samresnet34_ft,VF19D_Can_utt1,VF19D_Can_utt2,0.2200370080283568
T012,voxblink2_samresnet34_ft,VF19D_Can_utt1,VF21A_Can_utt2,0.7777120123067637
T013,voxblink2_samresnet34_ft,VF19D_Can_utt1,VF21B_Can_utt2,0.5802241833537168
T014,voxblink2_samresnet34_ft,VF19D_Can_utt1,VF21C_Can_utt2,0.6412968197323484
T015,voxblink2_samresnet34_ft,VF19D_Can_utt1,VF21D_Can_utt2,0.699212809572418
T016,voxblink2_samresnet34_ft,VF19D_Can_utt1,VF23B_Can_utt2,0.7093459515259933
T017,voxblink2_samresnet34_ft,VF19D_Can_utt1,VF23C_Can_utt2,0.5114863805292129
T018,voxblink2_samresnet34_ft,VF19D_Can_utt1,VF26A_Can_utt2,0.7632482331113214
T019,voxblink2_samresnet34_ft,VF19D_Can_utt1,VF32A_Can_utt2,0.5359730043382936
T020,voxblink2_samresnet34_ft,VF21A_Can_utt1,VF21A_Can_utt2,0.10838571657449425
