trial_id,subject,label1,label2,dissimilarity
T001,voxceleb_resnet293_LM,VF19B_Can_utt1,VF19B_Can_utt2,0.2381425884689648
T002,voxceleb_resnet293_LM,VF19B_Can_utt1,VF19D_Can_utt2,0.6627333808821989
T003,voxceleb_resnet293_LM,VF19B_Can_utt1,VF21A_Can_utt2,0.7617011870815704
T004,voxceleb_resnet293_LM,VF19B_Can_utt1,VF21B_Can_utt2,0.5542770653142632
T005,voxceleb_resnet293_LM,VF19B_Can_utt1,VF21C_Can_utt2,0.49268884086515013
T006,voxceleb_resnet293_LM,VF19B_Can_utt1,VF21D_Can_utt2,0.7152511249765257
T007,voxceleb_resnet293_LM,VF19B_Can_utt1,VF23B_Can_utt2,0.6896205891600811
T008,voxceleb_resnet293_LM,VF19B_Can_utt1,VF23C_Can_utt2,0.6540010629242448
T009,voxceleb_resnet293_LM,VF19B_Can_utt1,VF26A_Can_utt2,0.7624154049882517
T010,voxceleb_resnet293_LM,VF19B_Can_utt1,VF32A_Can_utt2,0.675386092699886
T011,voxceleb_resnet293_LM,VF19D_Can_utt1,VF19D_Can_utt2,0.15361011486696147
T012,voxceleb_resnet293_LM,VF19D_Can_utt1,VF21A_Can_utt2,0.905306908932842
T013,voxceleb_resnet293_LM,VF19D_Can_utt1,VF21B_Can_utt2,0.5328828018953944
T014,voxceleb_resnet293_LM,VF19D_Can_utt1,VF21C_Can_utt2,0.507880769394641
T015,voxceleb_resnet293_LM,VF19D_Can_utt1,VF21D_Can_utt2,0.7237689761811139
T016,voxceleb_resnet293_LM,VF19D_Can_utt1,VF23B_Can_utt2,0.7963870600779084
T017,voxceleb_resnet293_LM,VF19D_Can_utt1,VF23C_Can_utt2,0.4982650468042383
T018,voxceleb_resnet293_LM,VF19D_Can_utt1,VF26A_Can_utt2,0.7948915132661731
T019,voxceleb_resnet293_LM,VF19D_Can_utt1,VF32A_Can_utt2,0.506608883406743
T020,voxceleb_resnet293_LM,VF21A_Can_utt1,VF21A_Can_utt2,0.1540147067313567
T021,voxceleb_resnet293_LM,VF21A_Can_utt1,VF21B_Can_utt2,0.5471061652200406
T022,voxceleb_resnet293_LM,VF21A_Can_utt1,VF21C_Can_utt2,0.6530160530405091
T023,voxceleb_resnet293_LM,VF21A_Can_utt1,VF21D_Can_utt2,0.8423341810257514
T024,voxceleb_resnet293_LM,VF21A_Can_utt1,VF23B_Can_utt2,0.9148712616880885
T025,voxceleb_resnet293_LM,VF21A_Can_utt1,VF23C_Can_utt2,0.8230643084997138
T026,voxceleb_resnet293_LM,VF21A_Can_utt1,VF26A_Can_utt2,0.7484649353937374
T027,voxceleb_resnet293_LM,VF21A_Can_utt1,VF32A_Can_utt2,0.8592397341343916
T028,voxceleb_resnet293_LM,VF21B_Can_utt1,VF21B_Can_utt2,0.038168820809677095
T029,voxceleb_resnet293_LM,VF21B_Can_utt1,VF21C_Can_utt2,0.39148761862978104
T030,voxceleb_resnet293_LM,VF21B_Can_utt1,VF21D_Can_utt2,0.5597806684357447
T031,voxceleb_resnet293_LM,VF21B_Can_utt1,VF23B_Can_utt2,0.8759803106188788
T032,voxceleb_resnet293_LM,VF21B_Can_utt1,VF23C_Can_utt2,0.6735043113858867
T033,voxceleb_resnet293_LM,VF21B_Can_utt1,VF26A_Can_utt2,0.6222270413045925
T034,voxceleb_resnet293_LM,VF21B_Can_utt1,VF32A_Can_utt2,0.4816795944267313
T035,voxceleb_resnet293_LM,VF21C_Can_utt1,VF21C_Can_utt2,0.19354567458996802
T036,voxceleb_resnet293_LM,VF21C_Can_utt1,VF21D_Can_utt2,0.6803568354616221
T037,voxceleb_resnet293_LM,VF21C_Can_utt1,VF23B_Can_utt2,0.786191051377354
T038,voxceleb_resnet293_LM,VF21C_Can_utt1,VF23C_Can_utt2,0.8058457227939826
