trial_id,subject,label1,label2,dissimilarity
T001,voxceleb_resnet34,VF19B_Can_utt1,VF19B_Can_utt2,0.2567383117944229
T002,voxceleb_resnet34,VF19B_Can_utt1,VF19D_Can_utt2,0.6879394571066333
T003,voxceleb_resnet34,VF19B_Can_utt1,VF21A_Can_utt2,0.6186583120178213
T004,voxceleb_resnet34,VF19B_Can_utt1,VF21B_Can_utt2,0.47720965226478124
T005,voxceleb_resnet34,VF19B_Can_utt1,VF21C_Can_utt2,0.4585281592498743
T006,voxceleb_resnet34,VF19B_Can_utt1,VF21D_Can_utt2,0.5960359813890683
T007,voxceleb_resnet34,VF19B_Can_utt1,VF23B_Can_utt2,0.7348708194070408
T008,voxceleb_resnet34,VF19B_Can_utt1,VF23C_Can_utt2,0.8118269918787673
T009,voxceleb_resnet34,VF19B_Can_utt1,VF26A_Can_utt2,0.5944791903044926
T010,voxceleb_resnet34,VF19B_Can_utt1,VF32A_Can_utt2,0.7476270169736354
T011,voxceleb_resnet34,VF19D_Can_utt1,VF19D_Can_utt2,0.37494181551001454
T012,voxceleb_resnet34,VF19D_Can_utt1,VF21A_Can_utt2,0.8259180783324611
T013,voxceleb_resnet34,VF19D_Can_utt1,VF21B_Can_utt2,0.5009099145826061
T014,voxceleb_resnet34,VF19D_Can_utt1,VF21C_Can_utt2,0.5870320182967437
T015,voxceleb_resnet34,VF19D_Can_utt1,VF21D_Can_utt2,0.6583807060409994
T016,voxceleb_resnet34,VF19D_Can_utt1,VF23B_Can_utt2,0.8644774838687828
T017,voxceleb_resnet34,VF19D_Can_utt1,VF23C_Can_utt2,0.5553873010125348
T018,voxceleb_resnet34,VF19D_Can_utt1,VF26A_Can_utt2,0.6993829758001391
T019,voxceleb_resnet34,VF19D_Can_utt1,VF32A_Can_utt2,0.4645564785140133
T020,voxceleb_resnet34,VF21A_Can_utt1,VF21A_Can_utt2,0.24415369004473236
T021,voxceleb_resnet34,VF21A_Can_utt1,VF21B_Can_utt2,0.5872947158309267
T022,voxceleb_resnet34,VF21A_Can_utt1,VF21C_Can_utt2,0.5604957361966434
T023,voxceleb_resnet34,VF21A_Can_utt1,VF21D_Can_utt2,0.7330215244599447
T024,voxceleb_resnet34,VF21A_Can_utt1,VF23B_Can_utt2,0.8173978891466465
T025,voxceleb_resnet34,VF21A_Can_utt1,VF23C_Can_utt2,0.691075685614938
T026,voxceleb_resnet34,VF21A_Can_utt1,VF26A_Can_utt2,0.5963995828374056
T027,voxceleb_resnet34,VF21A_Can_utt1,VF32A_Can_utt2,0.9085242591416163
T028,voxceleb_resnet34,VF21B_Can_utt1,VF21B_Can_utt2,0.1466069509379322
T029,voxceleb_resnet34,VF21B_Can_utt1,VF21C_Can_utt2,0.33653004856754326
T030,voxceleb_resnet34,VF21B_Can_utt1,VF21D_Can_utt2,0.4586710184870921
T031,voxceleb_resnet34,VF21B_Can_utt1,VF23B_Can_utt2,0.9325342484588441
T032,voxceleb_resnet34,VF21B_Can_utt1,VF23C_Can_utt2,0.4973893112923042
T033,voxceleb_resnet34,VF21B_Can_utt1,VF26A_Can_utt2,0.6568213097760551
T034,voxceleb_resnet34,VF21B_Can_utt1,VF32A_Can_utt2,0.4871153653384907
T035,voxceleb_resnet34,VF21C_Can_utt1,VF21C_Can_utt2,0.21856162406876084
T036,voxceleb_resnet34,VF21C_Can_utt1,VF21D_Can_utt2,0.5392715190324857
T037,voxceleb_resnet34,VF21C_Can_utt1,VF23B_Can_utt2,0.7819111906271945
T038,voxceleb_resnet34,VF21C_Can_utt1,VF23C_Can_utt2,0.7714468451512628
T039,voxceleb_resnet34,VF21C_Can_utt1,VF26A_Can_utt2,0.6640345604249367
T040,voxceleb_resnet34,VF21C_Can_utt1,VF32A_Can_utt2,0.750746133022655
T041,voxceleb_resnet34,VF21D_Can_utt1,VF21D_Can_utt2,0.3100424135283168
T042,voxceleb_resnet34,VF21D_Can_utt1,VF23B_Can_utt2,0.7490516845479378
T043,voxceleb_resnet34,VF21D_Can_utt1,VF23C_Can_utt2,0.6843883408541032
T044,voxceleb_resnet34,VF21D_Can_utt1,VF26A_Can_utt2,0.5900973961154103
T045,voxceleb_resnet34,VF21D_Can_utt1,VF32A_Can_utt2,0.674244092017082
T046,voxceleb_resnet34,VF23B_Can_utt1,VF23B_Can_utt2,0.23494871940826517
T047,voxceleb_resnet34,VF23B_Can_utt1,VF23C_Can_utt2,0.8936051999672598
T048,voxceleb_resnet34,VF23B_Can_utt1,VF26A_Can_utt2,0.7857658955293043
T049,voxceleb_resnet34,VF23B_Can_utt1,VF32A_Can_utt2,0.8572713473151292
