feature,mean_rho,sd_rho,sem_rho,wilcoxon_stat,p_raw,p_fdr
FD_mean,0.015154944512332957,0.0035083443611026383,0.0008269246961577538,171.0,3.814697265625e-06,9.218851725260416e-06
pF1_cv,0.03772930846626119,0.0029104923112626786,0.0006860096166283827,171.0,3.814697265625e-06,9.218851725260416e-06
H42Kc_cv,0.0469691285558068,0.005007131042499782,0.0011801921048137545,171.0,3.814697265625e-06,9.218851725260416e-06
H1H2c_cv,-0.06231416210551302,0.004264042583532908,0.0010050444753614417,0.0,1.0,1.0
H2KH5Kc_cv,0.006374379364077974,0.006877902497802786,0.0016211371655120812,159.0,0.00026702880859375,0.0005956796499399039
pF3_cv,0.061072603039395705,0.006937375533979245,0.001635155094571457,171.0,3.814697265625e-06,9.218851725260416e-06
pF1_mean,0.06677970736687648,0.005150887664361554,0.0012140758655333976,171.0,3.814697265625e-06,9.218851725260416e-06
pF0_mean,-0.011575425985887617,0.003952067573939767,0.0009315112604134256,0.0,1.0,1.0
H2H4c_cv,-0.033604548817798584,0.004836334669031147,0.0011399350135198403,0.0,1.0,1.0
H2KH5Kc_mean,0.01669921227445937,0.004345786305045826,0.0010243116552951781,171.0,3.814697265625e-06,9.218851725260416e-06
energy_mean,-0.00958998571817942,0.005412838430155743,0.0012758182531434244,2.0,0.9999923706054688,1.0
HNR_mean,-0.03902923447753873,0.007674002745222064,0.0018087797933302346,0.0,1.0,1.0
HNR_cv,0.05879281229142663,0.005473035051857159,0.0012900067329466218,171.0,3.814697265625e-06,9.218851725260416e-06
pF0_cv,0.01729019651642853,0.004881574497115577,0.001150598143259245,171.0,3.814697265625e-06,9.218851725260416e-06
pF2_mean,-0.02728761731952948,0.007026175837575141,0.0016560855268528177,0.0,1.0,1.0
pF3_mean,-0.026113608783620443,0.008826145045797748,0.002080342337873213,0.0,1.0,1.0
SHR_mean,0.0529562010553706,0.005157367225612007,0.0012156031127665003,171.0,3.814697265625e-06,9.218851725260416e-06
pF2_cv,0.026494801449886207,0.004028544673790036,0.0009495370857166276,171.0,3.814697265625e-06,9.218851725260416e-06
H1H2c_mean,0.002905644139682136,0.005261132783437572,0.0012400608892971876,139.0,0.00911712646484375,0.01888547624860491
SHR_cv,0.0,0.0,0.0,0.0,,1.0
CPP_mean,-0.02258114711996452,0.005979187119117597,0.0014093079193037703,0.0,1.0,1.0
FD_cv,0.03674736769150541,0.004879477453129901,0.0011501038652516724,171.0,3.814697265625e-06,9.218851725260416e-06
CPP_cv,-0.008489636886990616,0.003751473423289831,0.000884230765683117,0.0,1.0,1.0
pF4_mean,-0.046826768570630915,0.006428318640607814,0.0015151692341338915,0.0,1.0,1.0
energy_cv,-0.009863200977591873,0.005944669852408473,0.0014011721215177549,3.0,0.9999885559082031,1.0
AR_mean,-0.06245980374460816,0.009288041245588978,0.002189212316232105,0.0,1.0,1.0
H2H4c_mean,-0.019315178821641528,0.00522143848408112,0.0012307048532140558,0.0,1.0,1.0
pF4_cv,0.037087434259972546,0.004503751613002788,0.0010615444354447076,171.0,3.814697265625e-06,9.218851725260416e-06
H42Kc_mean,-0.020351819234733993,0.0037447835390264418,0.0008826539448404518,0.0,1.0,1.0
