feature,category,mean_rho,sd_rho,sem_rho,wilcoxon_stat,p_raw,p_fdr
voxceleb_resnet34_LM,all,0.4386606012462962,0.10536022006335174,0.016658913508838073,820.0,9.094947017729282e-13,1.1024178203308221e-12
voxceleb_resnet34_LM,can,0.4768287723389328,0.11616741301819442,0.018367680751349477,820.0,9.094947017729282e-13,1.1024178203308221e-12
voxceleb_resnet34_LM,eng,0.5205479166716893,0.10370324335901618,0.016396922488061086,820.0,9.094947017729282e-13,1.1024178203308221e-12
voxceleb_resnet34_LM,mixed,0.39028578371717515,0.12994890585148358,0.020546726096873524,819.0,1.8189894035458565e-12,1.8189894035458565e-12
voxceleb_CAM++,all,0.43846399473846276,0.11330618779682593,0.01791528132143728,820.0,9.094947017729282e-13,1.1024178203308221e-12
voxceleb_CAM++,can,0.4893753265835426,0.12357592581209019,0.01953906947650989,820.0,9.094947017729282e-13,1.1024178203308221e-12
voxceleb_CAM++,eng,0.4759470159055737,0.09853320760284391,0.01557946805936032,820.0,9.094947017729282e-13,1.1024178203308221e-12
voxceleb_CAM++,mixed,0.4031960069085664,0.1370198310559315,0.021664737537410883,819.0,1.8189894035458565e-12,1.8189894035458565e-12
cnceleb_resnet34,all,0.3986506798068318,0.11256212618336826,0.01779763485053598,820.0,9.094947017729282e-13,1.1024178203308221e-12
cnceleb_resnet34,can,0.4953289043910237,0.13046338729171336,0.02062807275512402,820.0,9.094947017729282e-13,1.1024178203308221e-12
cnceleb_resnet34,eng,0.430912457915768,0.10024705734011903,0.015850451496213846,820.0,9.094947017729282e-13,1.1024178203308221e-12
cnceleb_resnet34,mixed,0.36425834952308567,0.13160689143743476,0.020808876635840252,820.0,9.094947017729282e-13,1.1024178203308221e-12
voxblink2_samresnet34,all,0.441730731106043,0.09563584976019149,0.01512135556039365,820.0,9.094947017729282e-13,1.1024178203308221e-12
voxblink2_samresnet34,can,0.4413532170549635,0.11812674742283406,0.01867747872217904,820.0,9.094947017729282e-13,1.1024178203308221e-12
voxblink2_samresnet34,eng,0.46890099508972655,0.10233233419998994,0.01618016271767564,820.0,9.094947017729282e-13,1.1024178203308221e-12
voxblink2_samresnet34,mixed,0.3801999869432103,0.120918044060077,0.019118821472121864,819.0,1.8189894035458565e-12,1.8189894035458565e-12
voxceleb_resnet34,all,0.44692689865834445,0.10846443551200552,0.017149733067119442,820.0,9.094947017729282e-13,1.1024178203308221e-12
voxceleb_resnet34,can,0.4879760617167165,0.11238082485274933,0.01776896859315723,820.0,9.094947017729282e-13,1.1024178203308221e-12
voxceleb_resnet34,eng,0.5190871647476616,0.10241172329617261,0.01619271523594161,820.0,9.094947017729282e-13,1.1024178203308221e-12
voxceleb_resnet34,mixed,0.3999112992208184,0.1333805223857221,0.021089312312097867,819.0,1.8189894035458565e-12,1.8189894035458565e-12
