feature,category,mean_rho,sd_rho,sem_rho,wilcoxon_stat,p_raw,p_fdr
FD_mean,all,0.20041148684503182,0.06949157670807117,0.010987583029690537,820.0,9.094947017729282e-13,3.767906621630702e-12
FD_mean,can,0.11787119487178174,0.08400719655624188,0.013282704048158884,813.0,1.7280399333685637e-11,3.782125137184026e-11
FD_mean,eng,0.2649467838560084,0.12025202903077224,0.019013515249696522,820.0,9.094947017729282e-13,3.767906621630702e-12
FD_mean,mixed,0.2461546976898079,0.08491104535227134,0.013425615090951587,820.0,9.094947017729282e-13,3.767906621630702e-12
pF1_cv,all,0.07169231419806207,0.057791547063357485,0.009137645911251243,779.0,9.054929250851274e-09,1.2967553001219108e-08
pF1_cv,can,0.04967988172694282,0.08594336927028519,0.01358883983415122,649.0,0.00047058614654815756,0.000586967666662218
pF1_cv,eng,0.15082550127430897,0.10669751857860452,0.016870358969826083,788.0,2.5147528504021466e-09,3.78845883956687e-09
pF1_cv,mixed,0.09612443893649032,0.08768317140633515,0.013863926705548422,770.0,2.8616341296583414e-08,3.99939227759479e-08
H42Kc_cv,all,0.16466754156683489,0.06692509599777235,0.010581786798918986,819.0,1.8189894035458565e-12,5.861188078092204e-12
H42Kc_cv,can,0.16018495787203108,0.10357371002197778,0.016376441469162905,814.0,1.2732925824820995e-11,3.014325297304562e-11
H42Kc_cv,eng,0.022871072920362286,0.09830115373331201,0.015542777120981502,520.0,0.07117425979049585,0.08256214135697519
H42Kc_cv,mixed,0.2344946887706451,0.0801995327214612,0.012680659534050984,818.0,2.7284841053187847e-12,7.912603905424475e-12
H1H2c_cv,all,0.07048017870090446,0.056719969325512105,0.008968214594175133,782.0,6.004484021104872e-09,8.706501830602064e-09
H1H2c_cv,can,-0.03436500026647078,0.11806812181538218,0.018668209199741097,255.0,0.9821978351883445,0.9999999999936335
H1H2c_cv,eng,0.13472444552452764,0.09277463003277595,0.014668956999151687,812.0,2.2737367544323206e-11,4.627253745862267e-11
H1H2c_cv,mixed,0.102911713003724,0.09240527699056947,0.01461055715544745,760.0,9.133600542554632e-08,1.2464678387486322e-07
H2KH5Kc_cv,all,0.19447229213999254,0.0687851003414334,0.01087587930810776,820.0,9.094947017729282e-13,3.767906621630702e-12
H2KH5Kc_cv,can,0.3351903509268685,0.09339181397157326,0.01476654234824536,820.0,9.094947017729282e-13,3.767906621630702e-12
H2KH5Kc_cv,eng,-0.1426914446779237,0.11880437698190996,0.018784621363005814,38.0,0.9999999947813194,0.9999999999936335
H2KH5Kc_cv,mixed,0.26125136898503964,0.08744972388131622,0.013827015410888974,820.0,9.094947017729282e-13,3.767906621630702e-12
pF3_cv,all,0.11429957542022821,0.06899903964081781,0.01090970608146153,807.0,8.003553375601768e-11,1.406685138742129e-10
pF3_cv,can,0.02199059260364458,0.11523998717021644,0.018221041849323303,466.0,0.22990683664193057,0.2564345485621533
