feature,category,mean_rho,sd_rho,sem_rho,wilcoxon_stat,p_raw,p_fdr
FD_mean,all,0.19317804199751026,0.03929966118805205,0.009263018974801793,171.0,3.814697265625e-06,5.746816659902597e-06
FD_mean,can,-0.03259179092512427,0.06617031351999712,0.015596492467743285,45.0,0.9631576538085938,1.0
FD_mean,eng,0.3388528138528139,0.09867133477872511,0.023257056643588188,171.0,3.814697265625e-06,5.746816659902597e-06
FD_mean,mixed,0.24526126144399563,0.07655847044004076,0.01804500453514089,171.0,3.814697265625e-06,5.746816659902597e-06
pF1_cv,all,0.12970389492023227,0.032863504580798446,0.007746002314212584,171.0,3.814697265625e-06,5.746816659902597e-06
pF1_cv,can,0.11160012826679494,0.06948300092780635,0.01637730037774768,168.0,1.9073486328125e-05,2.6339576357886906e-05
pF1_cv,eng,0.1531064614397948,0.03238759242908445,0.007633828744303901,171.0,3.814697265625e-06,5.746816659902597e-06
pF1_cv,mixed,0.1645188197115116,0.05826445622112661,0.013733064032035119,171.0,3.814697265625e-06,5.746816659902597e-06
H42Kc_cv,all,0.18239751593313056,0.058606557806524344,0.013813698148998254,171.0,3.814697265625e-06,5.746816659902597e-06
H42Kc_cv,can,0.1280222863556197,0.08618695277568483,0.020314459585830495,165.0,5.340576171875e-05,7.039850408380683e-05
H42Kc_cv,eng,0.13593073593073593,0.06703552788050772,0.015800425448242294,170.0,7.62939453125e-06,1.10626220703125e-05
H42Kc_cv,mixed,0.23671893570366542,0.08781236788366412,0.020697573600862235,171.0,3.814697265625e-06,5.746816659902597e-06
H1H2c_cv,all,0.02354161963394554,0.04266264279382555,0.010055681340951148,132.0,0.02158355712890625,0.025547883948501274
H1H2c_cv,can,-0.13041927208593876,0.07811548044646098,0.018411995313112575,0.0,1.0,1.0
H1H2c_cv,eng,0.029621612954946294,0.04501806881394287,0.010610860578087215,139.0,0.00911712646484375,0.011132491262335526
H1H2c_cv,mixed,0.12288907528705766,0.041964971362613214,0.009891238607601025,171.0,3.814697265625e-06,5.746816659902597e-06
H2KH5Kc_cv,all,0.16089037426141448,0.056770160973434465,0.013380855264455803,171.0,3.814697265625e-06,5.746816659902597e-06
H2KH5Kc_cv,can,0.18565015231681903,0.09517379080134576,0.02243267762228715,171.0,3.814697265625e-06,5.746816659902597e-06
H2KH5Kc_cv,eng,-0.15115840949174283,0.060415905910014625,0.014240165586833253,0.0,0.9999019533227331,1.0
H2KH5Kc_cv,mixed,0.24126545541047698,0.046908903665350575,0.01105653462659863,171.0,3.814697265625e-06,5.746816659902597e-06
pF3_cv,all,0.16729839283833184,0.07391144540029121,0.017421094749948393,168.0,1.9073486328125e-05,2.6339576357886906e-05
pF3_cv,can,0.0710237293570627,0.10008199227562693,0.023589551804251825,144.0,0.004482269287109375,0.00553131103515625
pF3_cv,eng,-0.028675645342312015,0.06651787930409958,0.015678414508692375,47.0,0.9551162719726562,1.0
pF3_cv,mixed,0.3053015794414964,0.09105205039682783,0.021461174092178747,171.0,3.814697265625e-06,5.746816659902597e-06
pF1_mean,all,0.25185497237696036,0.056646200734512125,0.013351637555942639,171.0,3.814697265625e-06,5.746816659902597e-06
pF1_mean,can,0.25328282828282833,0.12291227219444216,0.02897070038657893,171.0,3.814697265625e-06,5.746816659902597e-06
pF1_mean,eng,0.2708152958152959,0.07963788661003776,0.018770829887107685,171.0,3.814697265625e-06,5.746816659902597e-06
pF1_mean,mixed,0.2612059005436357,0.0683456739652577,0.0161092298418662,171.0,3.814697265625e-06,5.746816659902597e-06
pF0_mean,all,0.23407015679208212,0.03391567520107204,0.007994001307732822,171.0,3.814697265625e-06,5.746816659902597e-06
pF0_mean,can,-0.05794853294853296,0.09190998114687778,0.02166339030922834,31.0,0.9930648803710938,1.0
pF0_mean,eng,0.326972101972102,0.10946949827761811,0.025802208188397617,171.0,3.814697265625e-06,5.746816659902597e-06
pF0_mean,mixed,0.3198731926404792,0.040716471304740764,0.009596964321856557,171.0,3.814697265625e-06,5.746816659902597e-06
H2H4c_cv,all,0.19517141401891636,0.03553227591052059,0.00837503774910684,171.0,3.814697265625e-06,5.746816659902597e-06
H2H4c_cv,can,0.16996953663620337,0.07301465074699977,0.017209718223056985,171.0,3.814697265625e-06,5.746816659902597e-06
H2H4c_cv,eng,-0.08009860509860511,0.043182549462292816,0.010178224517903584,1.0,0.9999961853027344,1.0
H2H4c_cv,mixed,0.324154628149682,0.02357737815529078,0.005557241325401895,171.0,3.814697265625e-06,5.746816659902597e-06
H2KH5Kc_mean,all,0.24908118231073692,0.04498811346497346,0.010603800034624187,171.0,3.814697265625e-06,5.746816659902597e-06
H2KH5Kc_mean,can,0.46210517877184554,0.09243885236500247,0.02178804645079846,171.0,3.814697265625e-06,5.746816659902597e-06
H2KH5Kc_mean,eng,-0.022687189353856024,0.048893030504300654,0.011524197807450573,44.0,0.9667320251464844,1.0
H2KH5Kc_mean,mixed,0.2513837543105031,0.06421323131107902,0.015135203767321439,171.0,3.814697265625e-06,5.746816659902597e-06
energy_mean,all,0.18480495282379028,0.05040050612348192,0.011879513218382726,171.0,3.814697265625e-06,5.746816659902597e-06
energy_mean,can,0.09729036395703065,0.04668926752234634,0.011004765891227978,171.0,3.814697265625e-06,5.746816659902597e-06
energy_mean,eng,0.12549703383036717,0.04425115870561342,0.010430098132033792,171.0,3.814697265625e-06,5.746816659902597e-06
energy_mean,mixed,0.2920498750827804,0.0476456989069252,0.01123019893048643,171.0,3.814697265625e-06,5.746816659902597e-06
HNR_mean,all,0.22728570422243038,0.06625030870102036,0.015615347512731212,171.0,3.814697265625e-06,5.746816659902597e-06
HNR_mean,can,0.04007134840468174,0.09103173787076345,0.02145638638387103,123.0,0.05419158935546875,0.06349721581044823
HNR_mean,eng,0.24309764309764315,0.10148191553512123,0.02391951688089489,171.0,3.814697265625e-06,5.746816659902597e-06
HNR_mean,mixed,0.31327414954348803,0.06379127016859008,0.015035746572237723,171.0,3.814697265625e-06,5.746816659902597e-06
HNR_cv,all,0.19731061351355572,0.042274503947458415,0.009964196137515107,171.0,3.814697265625e-06,5.746816659902597e-06
HNR_cv,can,0.1851250601250602,0.08396880284323087,0.019791636632854936,171.0,3.814697265625e-06,5.746816659902597e-06
HNR_cv,eng,0.06270642937309606,0.06189206726007764,0.014588100153751603,155.0,0.000644683837890625,0.0008128622303838315
HNR_cv,mixed,0.3025956159876462,0.039994550400117804,0.00942680593281015,171.0,3.814697265625e-06,5.746816659902597e-06
pF0_cv,all,0.06637851816343616,0.040830495746149505,0.009623840140436933,168.0,1.9073486328125e-05,2.6339576357886906e-05
pF0_cv,can,-0.08386644219977556,0.0648260368816609,0.015279643425490553,5.0,0.9999732971191406,1.0
pF0_cv,eng,-0.037289562289562296,0.05233225241160198,0.012334830185003273,29.0,0.9947967529296875,1.0
pF0_cv,mixed,0.15928328153265497,0.06360765853594824,0.01499246889538913,171.0,3.814697265625e-06,5.746816659902597e-06
pF2_mean,all,0.2574466326043649,0.07085133411421125,0.01669981960275752,171.0,3.814697265625e-06,5.746816659902597e-06
pF2_mean,can,0.31833012666346,0.09173609748051488,0.021622405536020746,171.0,3.814697265625e-06,5.746816659902597e-06
pF2_mean,eng,0.16064614397947735,0.05951906477796855,0.01402877810479432,171.0,3.814697265625e-06,5.746816659902597e-06
