feature,category,mean_rho,sd_rho,sem_rho,wilcoxon_stat,p_raw,p_fdr
FD_mean,all,0.19457831076294416,0.03428791747736553,0.010338196101371882,66.0,0.00048828125,0.0006824171686746987
FD_mean,can,-0.06856880493244132,0.059169106021954236,0.017840156714143674,6.0,0.9951171875,1.0
FD_mean,eng,0.36074380165289266,0.09734257920290015,0.029349891940133876,66.0,0.00048828125,0.0006824171686746987
FD_mean,mixed,0.253982959761759,0.04085144850127783,0.012317175165569546,66.0,0.00048828125,0.0006824171686746987
pF1_cv,all,0.16394422718818233,0.026375299135066664,0.007952451905854675,66.0,0.00048828125,0.0006824171686746987
pF1_cv,can,0.08168699986881807,0.07095494158209542,0.02139371984085426,65.0,0.0009765625,0.0013172238372093023
pF1_cv,eng,0.15969434605798247,0.07600857391110484,0.022917447319375547,66.0,0.00048828125,0.0006824171686746987
pF1_cv,mixed,0.23640977710131603,0.04882760331834658,0.014722076329024352,66.0,0.00048828125,0.0006824171686746987
H42Kc_cv,all,0.15328235422031491,0.05154013637904479,0.015539935819367103,66.0,0.00048828125,0.0006824171686746987
H42Kc_cv,can,0.08171323625869081,0.12292708734657601,0.03706391139089433,50.0,0.07373046875,0.09002878289473684
H42Kc_cv,eng,0.12361275088547817,0.0599268969322127,0.01806863927040451,66.0,0.00048828125,0.0006824171686746987
H42Kc_cv,mixed,0.19850906897998097,0.03943256594122483,0.011889365977090026,66.0,0.00048828125,0.0006824171686746987
H1H2c_cv,all,0.004177300517359589,0.043063451820233814,0.01298411926047844,39.0,0.31884765625,0.373599273989899
H1H2c_cv,can,-0.15930080020989115,0.04829504496758248,0.014561503944619351,0.0,1.0,1.0
H1H2c_cv,eng,-0.00486685032139578,0.06685686968260483,0.020158104672262506,27.5,0.71142578125,0.8090724571078431
H1H2c_cv,mixed,0.11334337920913871,0.05156157565471614,0.015546400004201547,66.0,0.00048828125,0.0006824171686746987
H2KH5Kc_cv,all,0.15624546556214391,0.030378368620887268,0.009159422768962663,66.0,0.00048828125,0.0006824171686746987
H2KH5Kc_cv,can,0.14695657877476062,0.06654072874960776,0.020062784594478487,66.0,0.00048828125,0.0006824171686746987
