feature,mean_rho,sd_rho,sem_rho,wilcoxon_stat,p_raw,p_fdr
voxceleb_resnet34_LM,0.4386606012462962,0.10536022006335174,0.016658913508838073,820.0,9.094947017729282e-13,9.094947017729282e-13
voxceleb_CAM++,0.43846399473846276,0.11330618779682593,0.01791528132143728,820.0,9.094947017729282e-13,9.094947017729282e-13
voxblink2_samresnet100_ft,0.4125806180480646,0.08058805106938327,0.012742089678660959,820.0,9.094947017729282e-13,9.094947017729282e-13
cnceleb_resnet34,0.3986506798068318,0.11256212618336826,0.01779763485053598,820.0,9.094947017729282e-13,9.094947017729282e-13
voxblink2_samresnet34,0.441730731106043,0.09563584976019149,0.01512135556039365,820.0,9.094947017729282e-13,9.094947017729282e-13
voxceleb_resnet152_LM,0.4297581772885078,0.09608475955064918,0.015192334430483411,820.0,9.094947017729282e-13,9.094947017729282e-13
voxceleb_ecapa512_dino,0.4898541012287316,0.11185014461192096,0.017685060679644014,820.0,9.094947017729282e-13,9.094947017729282e-13
voxceleb_resnet34,0.44692689865834445,0.10846443551200552,0.017149733067119442,820.0,9.094947017729282e-13,9.094947017729282e-13
voxceleb_ECAPA1024,0.4302126678897185,0.11556368248712896,0.018272222572791985,820.0,9.094947017729282e-13,9.094947017729282e-13
cnceleb_resnet34_LM,0.3788118216057579,0.11302715580516096,0.01787116248975156,820.0,9.094947017729282e-13,9.094947017729282e-13
voxceleb_resnet293_LM,0.41819931372435626,0.1033113152338798,0.016334953210335564,820.0,9.094947017729282e-13,9.094947017729282e-13
voxblink2_samresnet34_ft,0.4053365684841987,0.07802309750770182,0.012336534911287231,820.0,9.094947017729282e-13,9.094947017729282e-13
voxceleb_CAM++_LM,0.43408514795322156,0.11643715331996185,0.018410330437865788,820.0,9.094947017729282e-13,9.094947017729282e-13
voxblink2_samresnet100,0.47093586068211657,0.09932526974483069,0.015704704080213815,820.0,9.094947017729282e-13,9.094947017729282e-13
voxceleb_ECAPA1024_LM,0.41830109031198254,0.1135690205509933,0.017956838828780484,820.0,9.094947017729282e-13,9.094947017729282e-13
voxceleb_ECAPA512_LM,0.4459399213330391,0.10313677385383647,0.016307355794991263,820.0,9.094947017729282e-13,9.094947017729282e-13
voxceleb_ECAPA512,0.452022291959319,0.10585551188672904,0.016737226022254578,820.0,9.094947017729282e-13,9.094947017729282e-13
voxceleb_resnet221_LM,0.389590374833625,0.09150584729682687,0.014468344834076734,820.0,9.094947017729282e-13,9.094947017729282e-13
